Company,Website,Industry,HQ,Employees,Revenue_Cr,Logistics_Spend_Cr,Tier,Account_Type,Key_Locations
"Bunge India",,"FMCG","Mumbai",1500,20000,245,Tier1,Expansion,"Rajpura (PB), Kandla, Krishnapatnam"
"Glencore India",,"FMCG","",500,12000,245,Tier1,Penetration,"Mumbai, Kandla, Chennai"
"CCL (Central Coalfields)",,"Other","Ranchi",35000,25000,242,Tier1,Penetration,"Jharkhand (Hazaribag, Ranchi, Ramgarh)"
"Blue Star Ltd",,"FMCG","Mumbai",4500,10000,242,Tier1,Expansion,"Wada (MH), Himachal, Ahmedabad (GJ), Sricty (AP)"
"DCM Shriram",,"Chemical","Delhi",7000,11000,242,Tier1,Penetration,"Kota (RJ), Bharuch (GJ), Jhagadia"
"National Fertilizers Ltd",,"Chemical","Noida",5500,14000,240,Tier1,Expansion,"Bathinda (PB), Panipat (HR), Vijaipur (MP), Nangal (PB)"
"PI Industries",,"Chemical","Gurugram",4200,8000,240,Tier1,Expansion,"Jambusar (GJ), Panoli (GJ), Bharuch"
"PI Industries",,"Chemical","Gurugram",4000,8000,233,Tier1,Expansion,"Jambusar (GJ), Panoli (GJ), Bharuch"
"SAIL (Long Products)",,"Steel & Metals","Delhi",20000,40000,232,Tier1,Expansion,"Rourkela (OD), Bhilai (CG), Durgapur (WB), Bokaro (JH), Burnpur (WB)"
"Jal Jeevan Mission",,"Steel & Metals","Delhi",,,230,Tier1,Penetration,"Pan-India water"
"BHEL",,"Auto & Engineering","Delhi",35000,25000,230,Tier1,Expansion,"Haridwar (UK), Trichy (TN), Hyderabad"
"NTPC (Capex)",,"Auto & Engineering","Delhi",20000,150000,230,Tier1,Penetration,"Pan-India"
"Alang Ship Breaking Assn",,"Steel & Metals","Bhavnagar",25000,15000,225,Tier1,Penetration,"Alang (GJ)"
"Adani Enterprises (Coal)",,"Other","Ahmedabad",10000,80000,225,Tier1,Expansion,"Mundra, Dhamra ports"
"Trident Ltd",,"FMCG","Ludhiana",20000,8000,223,Tier1,Expansion,"Barnala (PB), Sanghera (PB), Budhni (MP)"
"Aarti Industries",,"Chemical","Mumbai",5000,7500,223,Tier1,Expansion,"Vapi (GJ), Jhagadia (GJ), Dahej (GJ), Tarapur"
"ONGC",,"Other","Delhi",30000,150000,220,Tier1,Expansion,"Mumbai Offshore, Ahmedabad, Assam, KG Basin"
"NCL (Northern Coalfields)",,"Other","Singrauli",15000,22000,218,Tier1,Penetration,"Madhya Pradesh (Singrauli)"
"Volvo-Eicher",,"Auto & Engineering","Bangalore",6000,22000,215,Tier1,Penetration,"Pithampur (MP), Hosakote (KA)"
"Kansai Nerolac",,"Chemical","Mumbai",3500,7500,215,Tier1,Expansion,"Lote (MH), Jainpur (UP), Bawal (HR), Hosur (TN), Sayakha (GJ)"
"Serum Institute",,"FMCG","Pune",8000,18000,210,Tier1,Penetration,"Pune (MH)"
"Tata Power Solar",,"Other","Mumbai",3500,8000,210,Tier1,Expansion,"Bangalore (KA), Chennai (TN)"
"Daikin India",,"FMCG","Gurugram",3500,8000,208,Tier1,Expansion,"Neemrana (RJ), Sricity (AP)"
"Rashtriya Chemicals",,"Chemical","Mumbai",4000,12000,208,Tier1,Expansion,"Trombay (MH), Thal (MH)"
"CPCL",,"Chemical","Chennai",1800,35000,205,Tier1,Penetration,"Manali (TN)"
"Reckitt India",,"FMCG","Gurugram",3500,6500,205,Tier1,Penetration,"Hosur (TN), Baddi (HP), Sitarganj (UK)"
"Endurance Technologies",,"Steel & Metals","Aurangabad",8000,10000,205,Tier1,Penetration,"Aurangabad (MH), Pune, Pantnagar (UK), Chennai"
"Haldia Petrochemicals",,"Chemical","Kolkata",2500,12000,200,Tier1,Expansion,"Haldia (WB)"
"APL Apollo Tubes",,"Steel & Metals","Delhi",5000,18000,198,Tier1,Expansion,"Raipur (CG), Hosur (TN), Sikandrabad (UP), Murbad (MH), Dubai"
"DMart (Staples)",,"FMCG","Mumbai",5000,8000,198,Tier1,Penetration,"Pan-India"
"Whirlpool India",,"FMCG","Gurugram",4500,7500,198,Tier1,Expansion,"Pondicherry, Pune (MH), Faridabad (HR)"
"Delhivery",,"Other","Gurugram",25000,8000,195,Tier1,Penetration,"Pan-India"
"ITC Ltd (Aashirvaad)",,"FMCG","Kolkata",5000,8000,195,Tier1,Expansion,"Kapurthala (PB), Haridwar (UK), Munger (BR)"
"Tata Projects",,"Auto & Engineering","Mumbai",10000,15000,195,Tier1,Penetration,"Mumbai, Hyderabad, Delhi"
"RVNL",,"Steel & Metals","Delhi",5000,20000,190,Tier1,Penetration,"Pan-India projects"
"ITC Foods",,"FMCG","Kolkata",8000,18000,190,Tier1,Expansion,"Pune, Haridwar, Kolkata, Tumkur, Chennai"
"Bayer CropScience",,"Chemical","Mumbai",2000,6500,190,Tier1,Expansion,"Himatnagar (GJ), Vapi (GJ)"
"Crompton Greaves",,"FMCG","Mumbai",4500,7500,190,Tier1,Penetration,"Baddi (HP), Vadodara (GJ), Goa, Ahmednagar"
"KRIBHCO",,"Chemical","Noida",3500,11000,190,Tier1,Expansion,"Hazira (GJ), Shahjahanpur (UP)"
"Colgate-Palmolive",,"FMCG","Mumbai",3000,5800,187,Tier1,Penetration,"Sanand (GJ), Baddi (HP), Sricity (AP)"
"BPCL (Projects)",,"Other","Mumbai",12000,500000,185,Tier1,Expansion,"Mumbai, Kochi, Bina, Numaligarh"
"ECL (Eastern Coalfields)",,"Other","Sanctoria",50000,18000,182,Tier1,Penetration,"West Bengal (Asansol, Durgapur)"
"Eicher Motors (VECV)",,"Auto & Engineering","Indore",9000,18000,180,Tier1,Expansion,"Pithampur (MP), Bhopal"
"TAFE (Massey Ferguson)",,"Auto & Engineering","Chennai",8000,18000,180,Tier1,Expansion,"Chennai (TN), Mandideep (MP), Alwar (RJ)"
"JSW Energy",,"Other","Mumbai",3000,15000,180,Tier1,Penetration,"Vijayanagar (KA)"
"LT Foods (Daawat)",,"FMCG","Gurugram",3500,7500,180,Tier1,Expansion,"Sonipat (HR), Mandideep (MP), Amritsar (PB)"
"MRF Ltd",,"Auto & Engineering","Chennai",,25000,180,Tier1,Expansion,"Chennai, Puducherry, Goa, Hyderabad, Ankenpally"
"NCC Ltd",,"Other","Hyderabad",6000,8000,180,Tier1,Penetration,"Pan-India projects"
"Mundra Solar (Adani)",,"Other","Ahmedabad",2000,8000,180,Tier1,Penetration,"Mundra (GJ)"
"IRB Infrastructure",,"Other","Mumbai",5000,8000,180,Tier1,Penetration,"Pan-India projects"
"Thriveni Earthmovers",,"Other","Hyderabad",8000,5000,180,Tier1,Penetration,"Pan-India"
"KPR Mill",,"FMCG","Coimbatore",40000,6500,179,Tier1,Expansion,"Coimbatore (TN), Tirupur (TN), Arasur (TN)"
"TAFE (Massey Ferguson)",,"Auto & Engineering","Chennai",8000,18000,175,Tier1,Penetration,"Chennai (TN), Mandideep (MP), Alwar (RJ)"
"IOCL (Bitumen)",,"Other","Delhi",5000,12000,175,Tier1,Expansion,"Mathura, Panipat, Barauni, Haldia, Gujarat, Paradip"
"KEC International",,"Auto & Engineering","Mumbai",12000,18000,175,Tier1,Penetration,"Mumbai, Nagpur, Jaipur"
"Amber Enterprises",,"FMCG","Gurugram",6000,7500,172,Tier1,Penetration,"Rajpura (PB), Noida (UP), Jhagadia (GJ)"
"Godrej Appliances",,"FMCG","Mumbai",4000,6500,172,Tier1,Expansion,"Mohali (PB), Shirwal (MH)"
"Shahi Exports",,"FMCG","Delhi",100000,6500,172,Tier1,Penetration,"Bangalore, Faridabad, Chennai, Mysore"
"Saint-Gobain India",,"Cement","Chennai",5000,6500,170,Tier1,Expansion,"Sriperumbudur (TN), Jhagadia (GJ), Bhiwadi (RJ), Chennai"
"KEI Industries",,"Steel & Metals","Delhi",3500,8500,170,Tier1,Penetration,"Bhiwadi (RJ), Silvassa, Chopanki (RJ)"
"Soybean Processors Assn",,"Agri & Food","",10000,20000,170,Tier1,Penetration,"MP, MH"
"Imports (Port Delivery)",,"Steel & Metals","",2000,20000,170,Tier1,Penetration,"Kandla, JNPT, Chennai"
"Tata Power (Coal)",,"Other","Mumbai",10000,50000,168,Tier1,Penetration,"Mundra (GJ), Maithon (JH), Trombay"
"Vikram Solar",,"Other","Kolkata",3000,6000,168,Tier1,Expansion,"Falta (WB), Chennai (TN)"
"IB Group",,"Agri & Food","Rajnandgaon",8000,5000,168,Tier1,Penetration,"Rajnandgaon (CG), Nagpur (MH)"
"Karnataka Milk Federation",,"FMCG","Bangalore",10000,25000,167,Tier1,Penetration,"Bangalore, Mysore, Dharwad"
"Royal Enfield (Eicher)",,"Auto & Engineering","Chennai",6500,17000,166,Tier1,Expansion,"Oragadam (TN), Vallam (TN), Tiruvottiyur (TN)"
"Haier India",,"FMCG","Greater Noida",3500,6000,165,Tier1,Penetration,"Greater Noida (UP), Pune (MH)"
"BigBasket (Fresh)",,"Agri & Food","Bangalore",8000,3000,165,Tier1,Penetration,"All metros + Tier 1"
"Mayapuri Scrap Market",,"Steel & Metals","Delhi",10000,8000,165,Tier1,Penetration,"Delhi"
"Indian Potash Ltd",,"Other","Chennai",500,8000,165,Tier1,Expansion,"Chennai, Haldia, Kandla ()"
"Olam Agri (Oils)",,"FMCG","Singapore",1000,8000,165,Tier1,Penetration,"Cochin (KL), Vizag (AP), Mumbai"
"Container Corporation",,"Other","Delhi",3000,8000,165,Tier1,Penetration,"Pan-India"
"IOCL (Lubes)",,"Other","Delhi",3000,12000,165,Tier1,Expansion,"Pan-India (Mumbai, Kolkata, Chennai, Delhi)"
"JSPL (Jindal Steel)",,"Steel & Metals","Delhi",20000,65000,165,Tier1,Expansion,"Angul (OD), Raigarh (CG), Patratu (JH)"
"Glenmark Pharma",,"FMCG","Mumbai",15000,13500,165,Tier1,Penetration,"Baddi (HP), Ankleshwar (GJ), Nashik (MH)"
"GSFC Ltd",,"Chemical","Vadodara",3800,9500,165,Tier1,Expansion,"Vadodara (GJ)"
"Reliance (PVC Resin)",,"Cement","Mumbai",2000,8000,165,Tier1,Penetration,"Hazira (GJ), Dahej, Nagothane"
"Megha Engineering",,"Auto & Engineering","Hyderabad",15000,20000,165,Tier1,Penetration,"Hyderabad"
"HPCL (Projects)",,"Other","Mumbai",10000,450000,160,Tier1,Expansion,"Mumbai, Vizag, Bathinda"
"Mandi Gobindgarh Cluster",,"Steel & Metals","Punjab",15000,25000,160,Tier1,Penetration,"Punjab"
"South Eastern Coalfields",,"Other","Bilaspur",50000,40000,158,Tier1,Penetration,"Korba, Bilaspur (CG)"
"Premier Energies",,"Other","Hyderabad",3000,5500,158,Tier1,Expansion,"Hyderabad (TS), Tirupati (AP), Ramagundam (TS)"
"Ambuja Cement (Mining)",,"Other","Mumbai",3500,8000,158,Tier1,Penetration,"Gujarat, HP, Punjab, Rajasthan"
"SAIL (Plates/Sections)",,"Steel & Metals","Delhi",18000,35000,157,Tier1,Expansion,"Bhilai (CG), Bokaro (JH), Rourkela (OD), Durgapur (WB), Burnpur (WB)"
"Adani Power",,"Other","Ahmedabad",8000,45000,155,Tier1,Penetration,"Mundra (GJ), Tirora (MH), Kawai (RJ)"
"Alkem Labs",,"FMCG","Mumbai",20000,13000,155,Tier1,Penetration,"Baddi (HP), Taloja (MH), Daman, Sikkim"
"Suzlon Energy",,"Auto & Engineering","Pune",5000,6000,155,Tier1,Expansion,"Pune (MH), Pondicherry, Daman"
"Royal Enfield",,"Auto & Engineering","Chennai",6000,17000,155,Tier1,Penetration,"Oragadam (TN), Vallam (TN)"
"Ninjacart",,"Agri & Food","Bangalore",4000,2500,150,Tier1,Penetration,"Bangalore, Hyderabad, Chennai, Delhi"
"NTPC (Solar/Renewable)",,"Other","Delhi",2000,25000,150,Tier1,Penetration,"Pan-India"
"State Water Boards",,"Steel & Metals","",,,150,Tier1,Penetration,"State-wise"
"NHAI Contractors",,"Cement","Delhi",,,150,Tier1,Penetration,"Pan-India"
"Grasim (Birla Cellulose)",,"Chemical","Mumbai",8000,12000,147,Tier1,Expansion,"Nagda (MP), Kharach (GJ), Harihar (KA), Veraval"
"Panasonic India",,"FMCG","Gurugram",2500,5500,147,Tier1,Penetration,"Jhajjar (HR), Roorkee (UK), Bangalore"
"Astral Ltd",,"Chemical","Ahmedabad",4500,6000,145,Tier1,Penetration,"Santej (GJ), Hosur (TN), Ghiloth (RJ)"
"Skoda Auto VW",,"Auto & Engineering","Pune",5000,15000,145,Tier1,Penetration,"Chakan (MH)"
"NLC India",,"Other","Chennai",11000,15000,145,Tier1,Expansion,"Neyveli (TN), Barsingsar (RJ)"
"Reliance Battery",,"Other","Mumbai",1500,5000,145,Tier1,Penetration,"Jamnagar (GJ)"
"L&T Metro Rail",,"Steel & Metals","Mumbai",5000,8000,145,Tier1,Penetration,"Vadodara (GJ), Chennai"
"NTPC Ltd",,"Cement","Delhi",22000,,140,Tier1,Expansion,"Pan-India (Vindhyachal, Sipat, Korba, Talcher)"
"NHSRCL (Bullet)",,"Steel & Metals","Mumbai",1500,15000,140,Tier1,Penetration,"Mumbai-Ahmedabad"
"NCCF",,"Agri & Food","Delhi",2000,8000,140,Tier1,Penetration,"Pan-India"
"Supreme Industries",,"Cement","Mumbai",8000,10000,139,Tier1,Expansion,"Jalgaon (MH), Gadegaon, Hosur, Kharagpur, Malanpur"
"Syngenta India",,"Chemical","Pune",2500,4500,138,Tier1,Penetration,"Goa, Coimbatore (TN), Hyderabad"
"Page Industries (Jockey)",,"FMCG","Bangalore",25000,5000,138,Tier1,Expansion,"Bangalore (KA), Hassan (KA)"
"Dow Chemicals",,"Chemical","Mumbai",1500,8000,138,Tier1,Penetration,"Chakan (MH), Taloja (MH)"
"Gujarat Narmada Valley",,"Chemical","Bharuch",4500,7500,135,Tier1,Penetration,"Bharuch (GJ)"
"Rice Millers (Bran)",,"Agri & Food","",20000,15000,135,Tier1,Penetration,"Pan-India"
"L&T Hydrocarbon",,"Other","Chennai",8000,20000,135,Tier1,Expansion,"Pan-India projects"
"GR Infraprojects",,"Other","Udaipur",5000,6000,135,Tier1,Penetration,"Pan-India projects"
"Chemical Traders",,"Chemical","",3000,10000,132,Tier1,Penetration,"Gujarat, Maharashtra"
"ABD (Allied Blenders)",,"FMCG","Mumbai",3500,4500,130,Tier1,Expansion,"Pan-India (Maharashtra, Karnataka, AP, UP)"
"Sterlite Technologies",,"Steel & Metals","Pune",3500,6500,130,Tier1,Penetration,"Aurangabad (MH), Shendra (MH), Silvassa"
"Mahindra Logistics",,"Other","Mumbai",3000,5000,130,Tier1,Expansion,"Pan-India"
"POWERGRID",,"Auto & Engineering","Gurugram",,,130,Tier1,Penetration,"Pan-India projects"
"Jio (Fiber)",,"Auto & Engineering","Mumbai",,,130,Tier1,Penetration,"Pan-India"
"GNFC Ltd",,"Chemical","Bharuch",4500,7500,130,Tier1,Expansion,"Bharuch (GJ)"
"Indo Count Industries",,"FMCG","Mumbai",15000,4500,129,Tier1,Penetration,"Kolhapur (MH), Kagal (MH)"
"Asahi India Glass",,"Cement","Mumbai",3500,4500,128,Tier1,Expansion,"Taloja (MH), Roorkee (UK), Chennai (TN)"
"Exide Energy Solutions",,"Other","Kolkata",2500,4000,125,Tier1,Expansion,"Bangalore (KA), Ahmednagar (MH)"
"GE Vernova India",,"Auto & Engineering","Noida",5000,8000,125,Tier1,Penetration,"Noida (UP), Pune (MH), Hyderabad"
"Adani Green",,"Auto & Engineering","Ahmedabad",5000,8000,125,Tier1,Penetration,"Pan-India"
"JSPL (Semis)",,"Steel & Metals","Delhi",8000,25000,125,Tier1,Expansion,"Angul (OD), Raigarh (CG), Patratu (JH)"
"JSPL (Sponge)",,"Steel & Metals","Delhi",5000,8000,125,Tier1,Expansion,"Angul (OD), Raigarh (CG)"
"Sumitomo Chemical",,"Chemical","Mumbai",1800,4200,124,Tier1,Expansion,"Bhavnagar (GJ), Thane (MH)"
"Marico Ltd",,"FMCG","Mumbai",2500,10000,123,Tier1,Expansion,"Perundurai (TN), Baddi (HP), Kanjikode (KL)"
"WCL (Western Coalfields)",,"Other","Nagpur",35000,12000,122,Tier1,Penetration,"Maharashtra (Nagpur, Chandrapur), MP"
"GAIL (Projects)",,"Other","Delhi",5000,120000,122,Tier1,Expansion,"Pan-India pipelines"
"OMC Ltd (Odisha Mining)",,"Other","Bhubaneswar",2000,6500,122,Tier1,Penetration,"Odisha (Gandhamardan, Suakati, Daitari)"
"Carrier Midea",,"FMCG","Gurugram",2000,4500,121,Tier1,Penetration,"Bawal (HR), Supa (MH)"
"AkzoNobel India",,"Chemical","Gurugram",2500,4000,120,Tier1,Expansion,"Gwalior (MP), Mohali (PB), Hyderabad (TS)"
"Emami Ltd",,"FMCG","Kolkata",3200,3800,120,Tier1,Expansion,"Amingaon (AS), Baddi (HP), Silvassa"
"Torrent Pharma",,"FMCG","Ahmedabad",15000,10500,120,Tier1,Expansion,"Ahmedabad (GJ), Baddi (HP), Indrad (GJ)"
"GAIL (Buyer)",,"Steel & Metals","Delhi",,,120,Tier1,Penetration,"Pan-India pipelines"
"DMart (Foods)",,"FMCG","Mumbai",15000,25000,120,Tier1,Penetration,"Pan-India"
"APEDA",,"Agri & Food","Delhi",500,,120,Tier1,Penetration,"Pan-India"
"Stone Exporters Assn",,"Cement","",10000,8000,120,Tier1,Penetration,"Pan-India"
"Alok Industries",,"FMCG","Mumbai",20000,4000,120,Tier1,Penetration,"Silvassa, Vapi (GJ), Navi Mumbai"
