Company,Category,Segment,Sub_Segment,Account_Type,HQ,Key_Locations,Sales_Rs_Cr,Employees,Total_Logistics_Spend_Rs_Cr,Priority
Mahindra & Mahindra,Auto & Engineering,Auto Oem,PV/CV/Tractors,Expansion,Mumbai,"Chakan, Nashik, Igatpuri, Kandivali, Zaheerabad, Haridwar",140000.0,55000.0,1100.0,
Vedanta Aluminium,Steel & Metals,Non Ferrous Metals,Aluminium,Expansion,Delhi,"Jharsuguda (OD), Lanjigarh (OD), BALCO Korba (CG)",145000.0,25000.0,1030.0,
Asian Paints,Chemicals & Petrochemicals,Paints Coatings,Decorative/Industrial,Expansion,Mumbai,"Ankleshwar (GJ), Kasna (UP), Sriperumbudur (TN), Mysore (KA), Rohtak (HR), Khandala (MH), Visakhapatnam",35000.0,8000.0,940.0,
HPCL,Chemicals & Petrochemicals,Petrochemicals Polymers,Refinery-Petrochem,Penetration,Mumbai,"Vizag (AP), Mumbai, Bhatinda",450000.0,10000.0,850.0,
ITC Ltd (FMCG),FMCG & Consumer,Fmcg Foods Personal Care,Multi-category,Expansion,Kolkata,"Kolkata (WB), Pune, Haridwar, Munger, Kapurthala",20000.0,30000.0,850.0,
Adani Wilmar,FMCG & Consumer,Fmcg Foods Personal Care,Edible Oil/Foods,Penetration,Ahmedabad,"Mundra (GJ), Haldia (WB), Mangalore, Kakinada",56000.0,5500.0,850.0,
India Pulses & Grains Assn,FMCG & Consumer,Food Grains Staples,Trading,Penetration,Mumbai,Pan-India (members),50000.0,0.0,800.0,
Samsung India,FMCG & Consumer,Consumer Durables,White/Brown,Expansion,Gurugram,"Noida (UP), Sriperumbudur (TN)",35000.0,8000.0,775.0,
IFFCO,Chemicals & Petrochemicals,Fertilizers,Cooperative,Expansion,Delhi,"Kalol (GJ), Kandla (GJ), Phulpur (UP), Aonla (UP), Paradeep (OD), Babrala (UP)",45000.0,6000.0,765.0,
Vedanta Ltd,Mining & Minerals,Mining Minerals,Diversified,Expansion,Mumbai,"Odisha (Lanjigarh), Rajasthan (HZL), Goa",145000.0,25000.0,750.0,
UPL Ltd,Chemicals & Petrochemicals,Agrochemicals,Crop Protection,Expansion,Mumbai,"Ankleshwar (GJ), Vapi (GJ), Jhagadia (GJ), Halol, Global",54000.0,14000.0,680.0,
GAIL India,Chemicals & Petrochemicals,Petrochemicals Polymers,Polymers,Expansion,Delhi,"Pata (UP), Usar (MH)",135000.0,4500.0,680.0,
Sun Pharma,FMCG & Consumer,Pharma Healthcare,Formulations/API,Expansion,Mumbai,"Halol (GJ), Baddi (HP), Guwahati, Dewas, Karkhadi",50000.0,40000.0,680.0,
Cargill India,FMCG & Consumer,Fmcg Foods Personal Care,Edible Oil/Foods,Penetration,Gurugram,"Kandla (GJ), Kurkumbh (MH), Yavatmal",45000.0,4000.0,680.0,
Adani Wilmar,FMCG & Consumer,Edible Oils,Refining/FMCG,Expansion,Ahmedabad,"Mundra (GJ), Haldia (WB), Mangalore, Bundi",56000.0,5500.0,650.0,
Adani Wilmar,FMCG & Consumer,Food Grains Staples,Edible Oil/Staples,Expansion,Ahmedabad,"Mundra (GJ), Haldia (WB), Mangalore, Bundi",56000.0,5500.0,650.0,
Hyundai Motor India,Auto & Engineering,Auto Oem,PV,Penetration,Chennai,"Sriperumbudur (TN), Talegaon (MH)",75000.0,15000.0,630.0,
BPCL,Chemicals & Petrochemicals,Petrochemicals Polymers,Refinery-Petrochem,Penetration,Mumbai,"Kochi (KL), Mumbai",550000.0,12000.0,605.0,
LG Electronics India,FMCG & Consumer,Consumer Durables,White/Brown,Expansion,Greater Noida,"Greater Noida (UP), Pune (MH), Ranjangaon (MH)",25000.0,6500.0,605.0,
NHAI (Procurement),Energy & Fuel,Bitumen,Government,Penetration,Delhi,Pan-India,0.0,5000.0,600.0,
Nestle India,FMCG & Consumer,Fmcg Foods Personal Care,Foods,Expansion,Gurugram,"Nanjangud (KA), Samalkha (HR), Moga (PB), Tahliwal (HP)",19000.0,8500.0,595.0,
Tata Steel Ltd,Steel & Metals,Steel Coils,Integrated,Expansion,Mumbai,"Jamshedpur (JH), Kalinganagar (OD), Meramandali (OD)",250000.0,75000.0,580.0,
Coal India Ltd (CIL),Energy & Fuel,Coal Fuel,Mining,Expansion,Kolkata,"Pan-India (JH, CG, OD, WB, MP, MH)",140000.0,250000.0,550.0,
Britannia Industries,FMCG & Consumer,Fmcg Foods Personal Care,Biscuits/Dairy,Expansion,Bangalore,"Kolkata, Guwahati, Chennai, Rudrapur, Ranjangaon",17000.0,5000.0,545.0,
Varun Beverages (PepsiCo),FMCG & Consumer,Beverages,Soft Drinks,Expansion,Gurugram,"Pan-India (Greater Noida, Pathankot, Jaipur, Kolkata, Mumbai, Chennai, etc.)",18000.0,13000.0,510.0,
Cargill India,FMCG & Consumer,Food Grains Staples,Trading/Processing,Expansion,Gurugram,"Kandla (GJ), Kurkumbh (MH), Davangere",45000.0,4000.0,490.0,
Cargill India,FMCG & Consumer,Edible Oils,Trading/Refining,Expansion,Gurugram,"Kandla (GJ), Kurkumbh (MH), Davangere",45000.0,4000.0,490.0,
P&G India,FMCG & Consumer,Fmcg Foods Personal Care,Personal/Home,Penetration,Mumbai,"Bhiwadi (RJ), Hyderabad, Mandideep, Baddi",15000.0,4000.0,475.0,
SRF Ltd,Chemicals & Petrochemicals,Specialty Chemicals,Fluorochemicals,Expansion,Gurugram,"Bhiwadi (RJ), Dahej (GJ), Kashipur (UK), Thailand",16000.0,9000.0,475.0,
Parle Products,FMCG & Consumer,Fmcg Foods Personal Care,Biscuits/Snacks,Penetration,Mumbai,"Vile Parle (MH), Bahadurgarh, Neemrana, Khopoli",15000.0,8000.0,475.0,
Amul (GCMMF),FMCG & Consumer,Dairy Products,Multi,Expansion,Anand,"Anand (GJ), Gandhinagar, Mehsana, Pan-India",72000.0,20000.0,475.0,
Varun Beverages,FMCG & Consumer,Fmcg Foods Personal Care,Beverages,Penetration,Gurugram,Pan-India (PepsiCo franchisee),18000.0,12000.0,475.0,
JSW Steel Ltd,Steel & Metals,Steel Coils,Integrated,Expansion,Mumbai,"Dolvi (MH), Vijayanagar (KA), Salem (TN), Raigarh (CG)",180000.0,45000.0,465.0,
Ashok Leyland,Auto & Engineering,Auto Oem,CV,Expansion,Chennai,"Ennore (TN), Hosur (TN), Pantnagar (UK), Alwar (RJ), Vijayawada",45000.0,12000.0,440.0,
Havells India,FMCG & Consumer,Consumer Durables,Appliances,Expansion,Noida,"Haridwar (UK), Baddi (HP), Neemrana (RJ), Alwar (RJ), Noida (UP)",18000.0,7500.0,430.0,
NTPC Ltd,Energy & Fuel,Coal Fuel,Power,Expansion,Delhi,Pan-India,175000.0,20000.0,430.0,
Mother Dairy,FMCG & Consumer,Fmcg Foods Personal Care,Dairy,Penetration,Delhi,"Delhi-NCR, Mumbai, Hyderabad",16000.0,8000.0,425.0,
Bajaj Auto,Auto & Engineering,Two Wheelers Tractors,2W/3W,Expansion,Pune,"Chakan (MH), Akurdi (MH), Waluj (MH), Pantnagar (UK)",45000.0,12000.0,415.0,
Godrej Consumer,FMCG & Consumer,Fmcg Foods Personal Care,Personal/Home,Expansion,Mumbai,"Baddi (HP), Malanpur (MP), Guwahati, Puducherry",13500.0,5500.0,410.0,
Reliance Industries (O&G),Energy & Fuel,Oil Gas Services,E&P/Refining,Penetration,Mumbai,"Jamnagar (GJ), KG Basin",800000.0,25000.0,405.0,
NAFED,Agriculture & Food,Agri Produce Perishables,Procurement,Penetration,Delhi,Pan-India,25000.0,3000.0,400.0,
Bajaj Auto,Auto & Engineering,Auto Oem,2W/3W,Penetration,Pune,"Chakan, Akurdi, Waluj, Pantnagar",45000.0,12000.0,395.0,
Hero MotoCorp,Auto & Engineering,Two Wheelers Tractors,2W,Expansion,Delhi,"Dharuhera (HR), Gurugram (HR), Haridwar (UK), Neemrana (RJ), Halol (GJ), Chittoor (AP), Vadodara (GJ), Colombia",40000.0,10000.0,380.0,
Coromandel International,Chemicals & Petrochemicals,Fertilizers,Private,Expansion,Secunderabad,"Vizag (AP), Kakinada (AP), Ennore (TN), Ranipet",22000.0,5000.0,378.0,
Tata Consumer,FMCG & Consumer,Fmcg Foods Personal Care,Foods/Beverages,Penetration,Mumbai,"Munnar (KL), Kolkata, Chennai, Baddi",15000.0,5000.0,375.0,
Haldirams,FMCG & Consumer,Fmcg Foods Personal Care,Snacks/Sweets,Penetration,Nagpur,"Nagpur (MH), Delhi, Kolkata, Bikaner",12000.0,25000.0,375.0,
Patanjali,FMCG & Consumer,Fmcg Foods Personal Care,Ayurveda/Foods,Penetration,Haridwar,"Haridwar (UK), Padartha, Nagpur",12000.0,15000.0,375.0,
Adani Enterprises (Mining),Mining & Minerals,Mining Minerals,Coal/Minerals,Penetration,Ahmedabad,"Chhattisgarh, Odisha, Rajasthan",25000.0,5000.0,360.0,
Hero MotoCorp,Auto & Engineering,Auto Oem,2W,Penetration,Delhi,"Dharuhera, Gurugram, Haridwar, Neemrana, Halol, Chittoor",40000.0,10000.0,360.0,
PWD (State Roads),Energy & Fuel,Bitumen,Government,Penetration,Multiple,All states,0.0,0.0,360.0,
L&T (Roads),Energy & Fuel,Bitumen,EPC,Penetration,Mumbai,Pan-India projects,20000.0,15000.0,350.0,
Adani Solar (Mundra),Energy & Fuel,Solar Renewable,Solar Modules,Expansion,Ahmedabad,"Mundra (GJ), Ahmedabad (GJ)",15000.0,5000.0,350.0,
Dixon Technologies,FMCG & Consumer,Consumer Durables,Contract Mfg,Expansion,Noida,"Noida (UP), Tirupati (AP), Ludhiana (PB), Dehradun (UK)",18000.0,12000.0,345.0,
Dabur India,FMCG & Consumer,Fmcg Foods Personal Care,Ayurveda/Personal,Expansion,Delhi,"Baddi (HP), Haridwar (UK), Silvassa, Alwar",11500.0,7000.0,342.0,
Hindustan Coca-Cola (HCCB),FMCG & Consumer,Beverages,Soft Drinks,Expansion,Bangalore,"Pirangut (MH), Ameenpur (TS), Bidadi (KA), Sanand (GJ), Goblej (GJ), Dasna (UP)",12000.0,6000.0,342.0,
Secondary Steel Mills,Steel & Metals,Metal Scrap,Buyers,Penetration,,"Raipur, Mandi Gobindgarh, Ghaziabad",25000.0,30000.0,340.0,
Tata Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Soda Ash/Specialty,Penetration,Mumbai,"Mithapur (GJ), Haldia (WB), UK, Kenya",16000.0,4500.0,340.0,
SECL (South Eastern),Mining & Minerals,Mining Minerals,Coal,Penetration,Bilaspur,"Chhattisgarh (Korba, Bilaspur, Raigarh)",35000.0,45000.0,335.0,
NMDC Ltd,Mining & Minerals,Mining Minerals,Iron Ore,Expansion,Hyderabad,"Bailadila (CG), Donimalai (KA), Kumaraswamy (KA)",22000.0,6000.0,330.0,
Reliance Retail (Staples),FMCG & Consumer,Food Grains Staples,Staples,Penetration,Mumbai,Pan-India,15000.0,10000.0,330.0,
Reliance Fresh,Agriculture & Food,Agri Produce Perishables,Retail,Penetration,Mumbai,Pan-India,8000.0,15000.0,330.0,
Polycab India,Steel & Metals,Non Ferrous Metals,Cu Cables,Penetration,Mumbai,"Halol (GJ), Daman, Roorkee (UK), Nashik (MH)",18000.0,4500.0,330.0,
Pidilite (Roff/Dr. Fixit),Chemicals & Petrochemicals,Paints Coatings,Construction Chem,Expansion,Mumbai,"Vapi (GJ), Roha (MH), Baddi, Alwar",12500.0,6800.0,327.0,
TVS Motor,Auto & Engineering,Two Wheelers Tractors,2W,Expansion,Chennai,"Hosur (TN), Mysore (KA), Nalagarh (HP)",35000.0,8500.0,327.0,
Pidilite Industries,Chemicals & Petrochemicals,Specialty Chemicals,Adhesives,Penetration,Mumbai,"Vapi (GJ), Roha (MH), Baddi, Alwar",12500.0,6800.0,327.0,
Mahindra Tractors,Auto & Engineering,Auto Oem,Tractors,Penetration,Mumbai,"Kandivali, Nagpur, Jaipur, Zaheerabad",35000.0,15000.0,325.0,
Toyota Kirloskar,Auto & Engineering,Auto Oem,PV,Expansion,Bangalore,Bidadi (KA),55000.0,8000.0,325.0,
Singareni Collieries,Mining & Minerals,Mining Minerals,Coal,Expansion,Hyderabad,"Telangana (Ramagundam, Kothagudem, Sathupalli)",35000.0,42000.0,325.0,
Mahindra Tractors,Auto & Engineering,Two Wheelers Tractors,Tractors,Expansion,Mumbai,"Kandivali (MH), Nagpur (MH), Jaipur (RJ), Zaheerabad (TS), Rudrapur (UK)",35000.0,15000.0,325.0,
Shyam Metalics,Steel & Metals,Non Ferrous Metals,Ferro Alloys,Penetration,Kolkata,"Sambalpur (OD), Jamuria (WB)",16500.0,8000.0,320.0,
Waaree Energies,Energy & Fuel,Solar Renewable,Solar Modules,Expansion,Mumbai,"Surat (GJ), Tumb (GJ), Chikhli (GJ), USA",12000.0,4000.0,315.0,
Honda 2W,Auto & Engineering,Two Wheelers Tractors,2W,Penetration,Delhi,"Manesar (HR), Tapukara (RJ), Narsapura (KA), Vithalpur (GJ)",32000.0,7500.0,310.0,
Dr. Reddy's Labs,FMCG & Consumer,Pharma Healthcare,Formulations/API,Expansion,Hyderabad,"Hyderabad (TS), Baddi (HP), Srikakulam (AP)",28000.0,24000.0,310.0,
BASF India,Chemicals & Petrochemicals,Specialty Chemicals,Diversified,Penetration,Mumbai,"Navi Mumbai, Mangalore, Dahej, Panoli",15000.0,3000.0,310.0,
Rain Industries,Chemicals & Petrochemicals,Specialty Chemicals,Carbon/Chemicals,Penetration,Hyderabad,"Visakhapatnam (AP), Kurnool (AP)",18000.0,4000.0,310.0,
Xiaomi India,FMCG & Consumer,Consumer Durables,Electronics,Penetration,Bangalore,Tirupati (AP),25000.0,3000.0,310.0,
Aditya Birla Fashion,FMCG & Consumer,Textiles Apparel,Retail/Garments,Expansion,Mumbai,"Bangalore (KA), Silvassa",14000.0,30000.0,310.0,
Havells India,Steel & Metals,Non Ferrous Metals,Cu Cables,Penetration,Noida,"Haridwar (UK), Faridabad, Alwar (RJ), Neemrana",18500.0,12000.0,310.0,
Coromandel International,Chemicals & Petrochemicals,Agrochemicals,Agri-inputs,Expansion,Secunderabad,"Vizag (AP), Kakinada (AP), Ennore (TN), Ranipet",22000.0,5000.0,310.0,
United Spirits (Diageo),FMCG & Consumer,Beverages,IMFL,Expansion,Bangalore,"Nasik (MH), Alwar (RJ), Malkajgiri (TS), Ponda (GA), Pondicherry",11000.0,7000.0,310.0,
Voltas Ltd,FMCG & Consumer,Consumer Durables,AC/Commercial,Expansion,Mumbai,"Pantnagar (UK), Sanand (GJ), Waghodia (GJ)",13000.0,5000.0,310.0,
Welspun India,FMCG & Consumer,Textiles Apparel,Home Textiles,Expansion,Mumbai,"Anjar (GJ), Vapi (GJ), Hyderabad (TS)",12000.0,30000.0,310.0,
Pidilite Industries,FMCG & Consumer,Fmcg Foods Personal Care,Adhesives,Expansion,Mumbai,"Vapi (GJ), Roha (MH), Baddi, Alwar",12000.0,6500.0,308.0,
Marico Ltd,FMCG & Consumer,Fmcg Foods Personal Care,Personal Care,Expansion,Mumbai,"Kanjikode (KL), Perundurai (TN), Baddi, Paldhi",10000.0,4500.0,308.0,
Berger Paints,Chemicals & Petrochemicals,Paints Coatings,Decorative,Expansion,Kolkata,"Rishra (WB), Pondicherry, Hindupur (AP), Jejuri (MH), Goa",11000.0,4500.0,308.0,
TVS Motor,Auto & Engineering,Auto Oem,2W,Penetration,Chennai,"Hosur (TN), Mysore, Nalagarh (HP)",35000.0,8000.0,307.0,
Apar Industries,Steel & Metals,Non Ferrous Metals,Conductors,Penetration,Mumbai,"Silvassa, Vadodara (GJ), Jharsuguda (OD)",15000.0,4000.0,305.0,
Bunge India,FMCG & Consumer,Fmcg Foods Personal Care,Edible Oil,Penetration,Mumbai,"Rajpura (PB), Kandla, Krishnapatnam",20000.0,1500.0,305.0,
SRF Ltd,Chemicals & Petrochemicals,Petrochemicals Polymers,Specialty,Expansion,Gurugram,"Bhiwadi (RJ), Dahej (GJ), Kashipur (UK), Thailand",15000.0,8000.0,305.0,
HMEL (HPCL-Mittal),Chemicals & Petrochemicals,Petrochemicals Polymers,Integrated,Penetration,Bhatinda,Bhatinda (PB),45000.0,3000.0,305.0,
L&T (Heavy Engineering),Auto & Engineering,Project Cargo,EPC,Expansion,Mumbai,"Hazira (GJ), Powai (MH), Vadodara",150000.0,50000.0,305.0,
SAIL,Steel & Metals,Steel Coils,Integrated,Expansion,Delhi,"Bokaro (JH), Durgapur (WB), Rourkela (OD), Bhilai (CG), Burnpur (WB)",110000.0,60000.0,300.0,
Ruchi Soya (Patanjali),FMCG & Consumer,Edible Oils,Refining,Expansion,Indore,"Indore (MP), Kandla (GJ), Nagpur",25000.0,5000.0,295.0,
Louis Dreyfus (Oils),FMCG & Consumer,Edible Oils,Trading,Penetration,Geneva,"Kandla (GJ), Kakinada (AP), Mumbai",15000.0,1000.0,295.0,
MRF Ltd (Rubber Div),Chemicals & Petrochemicals,Rubber Latex,Industrial,Expansion,Chennai,"Chennai (TN), Tiruvottiyur, Goa, Puducherry",25000.0,20000.0,295.0,
Louis Dreyfus,FMCG & Consumer,Food Grains Staples,Trading,Penetration,Geneva,"Kandla (GJ), Kakinada (AP), Mumbai",15000.0,1000.0,295.0,
Haldiram's,FMCG & Consumer,Food Grains Staples,Snacks/Staples,Penetration,Nagpur,"Nagpur (MH), Delhi, Kolkata, Bikaner",12000.0,25000.0,295.0,
Patanjali (Divya Pharmacy),FMCG & Consumer,Food Grains Staples,FMCG/Staples,Expansion,Haridwar,"Haridwar (UK), Newasa (MH), Nagpur",12000.0,15000.0,295.0,
Reliance Industries (Fibres),Chemicals & Petrochemicals,Synthetic Fibres,Polyester,Expansion,Mumbai,"Hazira (GJ), Patalganga (MH), Silvassa, Hoshiarpur",25000.0,8000.0,295.0,
Aurobindo Pharma,FMCG & Consumer,Pharma Healthcare,Formulations/API,Expansion,Hyderabad,"Hyderabad (TS), Visakhapatnam (AP), Baddi",26000.0,23000.0,293.0,
MCL (Mahanadi Coalfields),Mining & Minerals,Mining Minerals,Coal,Penetration,Sambalpur,"Odisha (Talcher, IB Valley, Sambalpur)",30000.0,20000.0,288.0,
Hindustan Zinc,Steel & Metals,Non Ferrous Metals,Zinc/Lead,Expansion,Udaipur,"Debari, Chanderiya, Dariba, Zawar, Rampura Agucha (all RJ)",32500.0,4500.0,275.0,
Chambal Fertilisers,Chemicals & Petrochemicals,Fertilizers,Private,Expansion,Delhi,Gadepan (RJ),16000.0,2200.0,275.0,
Kia India,Auto & Engineering,Auto Oem,PV,Expansion,Gurugram,Anantapur (AP),40000.0,5000.0,275.0,
Cipla Ltd,FMCG & Consumer,Pharma Healthcare,Formulations,Expansion,Mumbai,"Goa, Baddi, Patalganga (MH), Kurkumbh (MH)",25500.0,25000.0,275.0,
Honda 2W,Auto & Engineering,Auto Oem,2W,Penetration,Delhi,"Manesar (HR), Tapukara (RJ), Narsapura (KA), Gujarat",32000.0,7000.0,273.0,
Hatsun Agro,FMCG & Consumer,Fmcg Foods Personal Care,Dairy,Penetration,Chennai,"Salem (TN), Belgaum (KA), Kanchipuram",10000.0,6500.0,272.0,
IOCL (Projects),Energy & Fuel,Oil Gas Services,Refining,Expansion,Delhi,"Panipat, Mathura, Haldia, Paradip",800000.0,32000.0,270.0,
Reliance New Energy,Energy & Fuel,Solar Renewable,Solar,Penetration,Mumbai,Jamnagar (GJ),10000.0,3000.0,265.0,
Dilip Buildcon,Energy & Fuel,Bitumen,Roads,Penetration,Bhopal,Pan-India projects,12000.0,8000.0,265.0,
UFLEX Ltd,Chemicals & Petrochemicals,Petrochemicals Polymers,Packaging Films,Penetration,Noida,"Noida (UP), Jammu, Dubai, Egypt, Poland",12000.0,8000.0,260.0,
Raymond Ltd,FMCG & Consumer,Textiles Apparel,Suiting/Garments,Expansion,Mumbai,"Thane (MH), Jalgaon (MH), Chhindwara (MP), Vapi (GJ)",9500.0,20000.0,257.0,
Supreme Industries,Chemicals & Petrochemicals,Petrochemicals Polymers,PVC Pipes,Penetration,Mumbai,Pan-India,10500.0,8000.0,255.0,
MRPL,Chemicals & Petrochemicals,Petrochemicals Polymers,Aromatics,Penetration,Mangalore,Mangalore (KA),90000.0,2500.0,255.0,
Mondelez India,FMCG & Consumer,Fmcg Foods Personal Care,Confectionery,Penetration,Mumbai,"Baddi (HP), Induri (MH), Sricity (AP)",8500.0,4500.0,255.0,
Indian Railways (COFMOW),Steel & Metals,Steel Railways,End User,Penetration,Delhi,Pan-India workshops,200000.0,1300000.0,250.0,
Suguna Foods,Agriculture & Food,Agri Produce Perishables,Poultry,Penetration,Coimbatore,"Coimbatore (TN), Hyderabad",8000.0,15000.0,250.0,
ONGC Petro,Chemicals & Petrochemicals,Petrochemicals Polymers,Polymers,Expansion,Vadodara,Dahej (GJ),18000.0,1200.0,250.0,
NALCO,Steel & Metals,Non Ferrous Metals,Aluminium,Expansion,Bhubaneswar,"Angul (OD), Damanjodi (OD)",14500.0,6500.0,250.0,
Suzlon Energy,Energy & Fuel,Solar Renewable,Wind,Expansion,Pune,"Puducherry, Daman, Gujarat, Rajasthan",8500.0,7000.0,250.0,
Zydus Lifesciences,FMCG & Consumer,Pharma Healthcare,Formulations/API,Expansion,Ahmedabad,"Ahmedabad (GJ), Baddi (HP), Moraiya (GJ)",22000.0,25000.0,249.0,
Vardhman Textiles,FMCG & Consumer,Textiles Apparel,Yarn/Fabrics,Expansion,Ludhiana,"Ludhiana (PB), Baddi (HP), Bathinda (PB), Himachal",9000.0,25000.0,249.0,
Bunge India,FMCG & Consumer,Edible Oils,Trading/Refining,Expansion,Mumbai,"Rajpura (PB), Kandla, Krishnapatnam",20000.0,1500.0,245.0,
Bunge India,FMCG & Consumer,Food Grains Staples,Trading/Processing,Expansion,Mumbai,"Rajpura (PB), Kandla, Krishnapatnam",20000.0,1500.0,245.0,
Glencore India,FMCG & Consumer,Food Grains Staples,Trading,Penetration,,"Mumbai, Kandla, Chennai",12000.0,500.0,245.0,
CCL (Central Coalfields),Mining & Minerals,Mining Minerals,Coal,Penetration,Ranchi,"Jharkhand (Hazaribag, Ranchi, Ramgarh)",25000.0,35000.0,242.0,
Pernod Ricard India,FMCG & Consumer,Beverages,IMFL/Wine,Expansion,Mumbai,"Nashik (MH), Behror (RJ), Kolar (KA), Goa, Kolhapur",8500.0,3000.0,242.0,
Blue Star Ltd,FMCG & Consumer,Consumer Durables,AC/Commercial,Expansion,Mumbai,"Wada (MH), Himachal, Ahmedabad (GJ), Sricty (AP)",10000.0,4500.0,242.0,
DCM Shriram,Chemicals & Petrochemicals,Specialty Chemicals,Chlor-alkali,Penetration,Delhi,"Kota (RJ), Bharuch (GJ), Jhagadia",11000.0,7000.0,242.0,
SAIL (Mining),Mining & Minerals,Mining Minerals,Iron Ore,Penetration,Delhi,"Kiriburu (JH), Gua (JH), Rowghat (CG)",18000.0,8000.0,240.0,
National Fertilizers Ltd,Chemicals & Petrochemicals,Fertilizers,PSU,Expansion,Noida,"Bathinda (PB), Panipat (HR), Vijaipur (MP), Nangal (PB)",14000.0,5500.0,240.0,
Reliance Retail (Foods),FMCG & Consumer,Food Processing,Retail,Penetration,Mumbai,Pan-India,50000.0,25000.0,240.0,
PI Industries,Chemicals & Petrochemicals,Agrochemicals,Custom Synthesis,Expansion,Gurugram,"Jambusar (GJ), Panoli (GJ), Bharuch",8000.0,4200.0,240.0,
Deepak Nitrite,Chemicals & Petrochemicals,Specialty Chemicals,Nitro-aromatics,Expansion,Vadodara,"Nandesari (GJ), Dahej (GJ), Hyderabad (TS)",8500.0,3500.0,240.0,
Arvind Ltd,FMCG & Consumer,Textiles Apparel,Fabrics/Garments,Expansion,Ahmedabad,"Naroda (GJ), Ahmedabad, Santej (GJ), Ethiopia",8500.0,25000.0,240.0,
PI Industries,Chemicals & Petrochemicals,Specialty Chemicals,Agrochemicals,Expansion,Gurugram,"Jambusar (GJ), Panoli (GJ), Bharuch",8000.0,4000.0,233.0,
SAIL (Long Products),Steel & Metals,Steel Structural,Integrated,Expansion,Delhi,"Rourkela (OD), Bhilai (CG), Durgapur (WB), Bokaro (JH), Burnpur (WB)",40000.0,20000.0,232.0,
Jal Jeevan Mission,Steel & Metals,Steel Pipes Tubes,Buyer,Penetration,Delhi,Pan-India water,0.0,0.0,230.0,
BHEL,Auto & Engineering,Project Cargo,Power Equipment,Expansion,Delhi,"Haridwar (UK), Trichy (TN), Hyderabad",25000.0,35000.0,230.0,
NTPC (Capex),Auto & Engineering,Project Cargo,Power Projects,Penetration,Delhi,Pan-India,150000.0,20000.0,230.0,
Lupin Ltd,FMCG & Consumer,Pharma Healthcare,Formulations/API,Expansion,Mumbai,"Goa, Mandideep (MP), Tarapur (MH), Aurangabad",20000.0,21000.0,225.0,
Alang Ship Breaking Assn,Steel & Metals,Metal Scrap,Sellers,Penetration,Bhavnagar,Alang (GJ),15000.0,25000.0,225.0,
Adani Enterprises (Coal),Energy & Fuel,Coal Fuel,Trading,Expansion,Ahmedabad,"Mundra, Dhamra ports",80000.0,10000.0,225.0,
Trident Ltd,FMCG & Consumer,Textiles Apparel,Home Textiles/Paper,Expansion,Ludhiana,"Barnala (PB), Sanghera (PB), Budhni (MP)",8000.0,20000.0,223.0,
Aarti Industries,Chemicals & Petrochemicals,Specialty Chemicals,Specialty,Expansion,Mumbai,"Vapi (GJ), Jhagadia (GJ), Dahej (GJ), Tarapur",7500.0,5000.0,223.0,
ONGC,Energy & Fuel,Oil Gas Services,E&P,Expansion,Delhi,"Mumbai Offshore, Ahmedabad, Assam, KG Basin",150000.0,30000.0,220.0,
