target_account,matched_customer,status
Torrent Pharma,Torrent Chemical & Pharma Ltd,FLAGGED - EXISTING CUSTOMER
Sun Pharma,Asence Pharma Private Limited,FLAGGED - EXISTING CUSTOMER
Varun Beverages (PepsiCo),P,FLAGGED - EXISTING CUSTOMER
Royal Enfield (Eicher),Linclimited,FLAGGED - EXISTING CUSTOMER
Haldia Petrochemicals,Haldia Petrochemicals,FLAGGED - EXISTING CUSTOMER
IFFCO,IFFCO Kisan,FLAGGED - EXISTING CUSTOMER
Cipla Ltd,P,FLAGGED - EXISTING CUSTOMER
Coromandel International,Nonpareil International,FLAGGED - EXISTING CUSTOMER
NTPC (Capex),P,FLAGGED - EXISTING CUSTOMER
NALCO,HINDALCO INDUSTRIES LTD,FLAGGED - EXISTING CUSTOMER
Parle Products,Prakruti Products Pvt,FLAGGED - EXISTING CUSTOMER
Adani Enterprises (Mining),Adani Enterprises Limited - Kutch Copper Ltd - ULIP API,FLAGGED - EXISTING CUSTOMER
Cargill India,Linclimited,FLAGGED - EXISTING CUSTOMER
Finolex Industries,Finolex Cables Ltd.,FLAGGED - EXISTING CUSTOMER
Hyundai Motor India,Hyundai Motor Group,FLAGGED - EXISTING CUSTOMER
JSW Steel Ltd,Sul Steel Pvt Ltd,FLAGGED - EXISTING CUSTOMER
L&T (Heavy Engineering),L&T Technology Services,FLAGGED - EXISTING CUSTOMER
Chemplast Sanmar,P,FLAGGED - EXISTING CUSTOMER
Coal India Ltd (CIL),Linclimited,FLAGGED - EXISTING CUSTOMER
Hindustan Zinc,HINDUSTAN ZINC LTD  -  UDAIPUR,FLAGGED - EXISTING CUSTOMER
Arvind Ltd,arvindexports.com,FLAGGED - EXISTING CUSTOMER
RR Global,EAPRO Global,FLAGGED - EXISTING CUSTOMER
Reckitt India,M/s Reckitt Benckiser India Ltd. M/s Reckitt Benckiser India Ltd.,FLAGGED - EXISTING CUSTOMER
ONGC,ONGC Mangalore PetroChemical & Pharma,FLAGGED - EXISTING CUSTOMER
Biocon Ltd,Rubicon,FLAGGED - EXISTING CUSTOMER
Polyplex Corporation,Polyplex Corporation Ltd,FLAGGED - EXISTING CUSTOMER
KPR Mill,KPR Mill Limited,FLAGGED - EXISTING CUSTOMER
Mondelez India,Mondelez India Foods Private Limited - End to End TMS,FLAGGED - EXISTING CUSTOMER
LG Electronics India,Ola Electric,FLAGGED - EXISTING CUSTOMER
Glenmark Pharma,P,FLAGGED - EXISTING CUSTOMER
BALCO (Vedanta),Vedanta,FLAGGED - EXISTING CUSTOMER
Reliance Retail (Staples),P,FLAGGED - EXISTING CUSTOMER
Secondary Steel Mills,Ludhiana Steel Rolling Mills,FLAGGED - EXISTING CUSTOMER
Supreme Industries,Supreme Logistics Solutions Private Limited,FLAGGED - EXISTING CUSTOMER
Louis Dreyfus,Louis Dreyfus,FLAGGED - EXISTING CUSTOMER
Trident Ltd,Trident Automobiles Pvt,FLAGGED - EXISTING CUSTOMER
Atul Ltd,Amul Industries Pvt,FLAGGED - EXISTING CUSTOMER
Mother Dairy,air,FLAGGED - EXISTING CUSTOMER
Godrej Consumer,Godrej,FLAGGED - EXISTING CUSTOMER
APL Apollo Tubes,P,FLAGGED - EXISTING CUSTOMER
Toyota Kirloskar,Toyota Kirloskar Motor Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Patanjali (Divya Pharmacy),P,FLAGGED - EXISTING CUSTOMER
Tata Steel Mining,Tata Steel Long Products Ltd,FLAGGED - EXISTING CUSTOMER
Bunge India,Bunge India,FLAGGED - EXISTING CUSTOMER
NMDC Ltd,nmdc-group.com,FLAGGED - EXISTING CUSTOMER
SAIL (Long Products),P,FLAGGED - EXISTING CUSTOMER
Kansai Nerolac,Linclimited,FLAGGED - EXISTING CUSTOMER
Dabur India,DABUR INDIA TMS,FLAGGED - EXISTING CUSTOMER
Hindustan Coca-Cola (HCCB),Coca-Cola India,FLAGGED - EXISTING CUSTOMER
ITC Foods,Dil Foods,FLAGGED - EXISTING CUSTOMER
Pidilite (Roff/Dr. Fixit),Pidilite,FLAGGED - EXISTING CUSTOMER
United Spirits (Diageo),P,FLAGGED - EXISTING CUSTOMER
Singareni Collieries,Linclimited,FLAGGED - EXISTING CUSTOMER
Samsung India,Samsung SDS,FLAGGED - EXISTING CUSTOMER
JSPL (Jindal Steel),Jindal Steel,FLAGGED - EXISTING CUSTOMER
Pidilite Industries,Pidilite,FLAGGED - EXISTING CUSTOMER
Godawari Power & Ispat,Godawari Power & Ispat,FLAGGED - EXISTING CUSTOMER
Mahindra Tractors,RS,FLAGGED - EXISTING CUSTOMER
GMDC,NMDC,FLAGGED - EXISTING CUSTOMER
Havells India,HAVELLS INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
Jindal Stainless,Jindal Stainless Jajpur- Coal tracking + Outbound,FLAGGED - EXISTING CUSTOMER
Sutlej Textiles,Linclimited,FLAGGED - EXISTING CUSTOMER
Godrej Agrovet,Godrej Agrovet Limited(shipment Tracking ),FLAGGED - EXISTING CUSTOMER
Daikin India,Daikin Airconditioning India Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
Hindustan Urvarak,HINDUSTAN URVARAK & RASAYAN LIMITED,FLAGGED - EXISTING CUSTOMER
NHSRCL (Bullet),Linclimited,FLAGGED - EXISTING CUSTOMER
Rain Industries,Rain Cement Limited,FLAGGED - EXISTING CUSTOMER
Escorts Kubota,Escorts Limited,FLAGGED - EXISTING CUSTOMER
Jubilant Ingrevia,Jubilant Ingrevia,FLAGGED - EXISTING CUSTOMER
Deepak Fertilisers,P,FLAGGED - EXISTING CUSTOMER
Xiaomi India,xiaomi.com,FLAGGED - EXISTING CUSTOMER
Sumitomo Chemical,Satol Chemicals,FLAGGED - EXISTING CUSTOMER
Hero MotoCorp,Hero MotoCorp Ltd,FLAGGED - EXISTING CUSTOMER
SAIL (Plates/Sections),Ate India,FLAGGED - EXISTING CUSTOMER
Force Motors,Ceer Motors,FLAGGED - EXISTING CUSTOMER
UFLEX Ltd,Linclimited,FLAGGED - EXISTING CUSTOMER
Welspun Corp,P,FLAGGED - EXISTING CUSTOMER
Siemens India,Siemens Energy,FLAGGED - EXISTING CUSTOMER
BASF India,Basf Styrenics P Ltd,FLAGGED - EXISTING CUSTOMER
SAIL (Semis),Linclimited,FLAGGED - EXISTING CUSTOMER
LT Foods (Daawat),LT Foods LTD (D A A W A T Basmati Rice),FLAGGED - EXISTING CUSTOMER
Indian Railways (COFMOW),Linclimited,FLAGGED - EXISTING CUSTOMER
JSW Steel (Mining),Linclimited,FLAGGED - EXISTING CUSTOMER
KEI Industries,Keitt Exporters Limited,FLAGGED - EXISTING CUSTOMER
MCL (Mahanadi Coalfields),Mahanadi Coalfields Limited,FLAGGED - EXISTING CUSTOMER
Reliance Industries (Fibres),Linclimited,FLAGGED - EXISTING CUSTOMER
MRF Ltd (Rubber Div),MRF Corp Ltd,FLAGGED - EXISTING CUSTOMER
Ruchi Soya (Patanjali),RUCHI SOYA INDUSTRIES LTD,FLAGGED - EXISTING CUSTOMER
Aurobindo Pharma,Aurobindo Pharma USA Inc,FLAGGED - EXISTING CUSTOMER
Pernod Ricard India,Pernod Ricard India (P) Ltd,FLAGGED - EXISTING CUSTOMER
MRPL,ARPL,FLAGGED - EXISTING CUSTOMER
P&G India,S.P. Golden Transport Pvt,FLAGGED - EXISTING CUSTOMER
Grasim (Birla Cellulose),Linclimited,FLAGGED - EXISTING CUSTOMER
Marico Ltd,Marico Limited,FLAGGED - EXISTING CUSTOMER
JSW Steel (Flats),Linclimited,FLAGGED - EXISTING CUSTOMER
Welspun India,P,FLAGGED - EXISTING CUSTOMER
Jindal SAW Ltd,Jindal SAW,FLAGGED - EXISTING CUSTOMER
Emami Ltd,Emami Agrotech Limited,FLAGGED - EXISTING CUSTOMER
Apar Industries,samosaparty.co.in,FLAGGED - EXISTING CUSTOMER
Zydus Lifesciences,SPC Lifesciences Pvt,FLAGGED - EXISTING CUSTOMER
ITC Ltd (Aashirvaad),ITC Limited,FLAGGED - EXISTING CUSTOMER
Tata Steel (Long Products),Eagle Steel Products,FLAGGED - EXISTING CUSTOMER
Tata Steel (Plates),Ate India,FLAGGED - EXISTING CUSTOMER
KRBL Ltd,krblindia.com,FLAGGED - EXISTING CUSTOMER
Honda 2W,Honda,FLAGGED - EXISTING CUSTOMER
Lupin Ltd,Lupin,FLAGGED - EXISTING CUSTOMER
Kia India,Kia,FLAGGED - EXISTING CUSTOMER
Patanjali,Patanjali Ayurved Ltd,FLAGGED - EXISTING CUSTOMER
Voltas Ltd,Voltas Limited - A TATA Enterprise,FLAGGED - EXISTING CUSTOMER
NLC India,NLC India Ltd,FLAGGED - EXISTING CUSTOMER
SAIL (Mining),Linclimited,FLAGGED - EXISTING CUSTOMER
Eicher Motors (VECV),A Volvo Group & Eicher Motors,FLAGGED - EXISTING CUSTOMER
WCL (Western Coalfields),Linclimited,FLAGGED - EXISTING CUSTOMER
BHEL,HMEL,FLAGGED - EXISTING CUSTOMER
AkzoNobel India,Akzo Nobel NV,FLAGGED - EXISTING CUSTOMER
SECL (South Eastern),Linclimited,FLAGGED - EXISTING CUSTOMER
Henkel India,Henkel,FLAGGED - EXISTING CUSTOMER
Nippon Paint India,Nippon Paint Automotive Europe,FLAGGED - EXISTING CUSTOMER
Emami Agrotech,Emami Agrotech Limited,FLAGGED - EXISTING CUSTOMER
Indo Count Industries,Indo Count Industries - ETE TMS,FLAGGED - EXISTING CUSTOMER
Finolex Cables,Finolex Cables Ltd.,FLAGGED - EXISTING CUSTOMER
Essel Mining,Linclimited,FLAGGED - EXISTING CUSTOMER
Himadri Speciality,P,FLAGGED - EXISTING CUSTOMER
Thermax Ltd,THERMAX,FLAGGED - EXISTING CUSTOMER
Tata Steel Wire Division,Tata Steel Long Products Ltd,FLAGGED - EXISTING CUSTOMER
Navin Fluorine,Linclimited,FLAGGED - EXISTING CUSTOMER
Cosmo Films,Cosmo Films Ltd.,FLAGGED - EXISTING CUSTOMER
Jyothy Labs,Linclimited,FLAGGED - EXISTING CUSTOMER
Harrisons Malayalam,Harrisons Malayalam,FLAGGED - EXISTING CUSTOMER
IMFA (Indian Metals),Indian Metals & Ferro Alloys Ltd,FLAGGED - EXISTING CUSTOMER
IFB Industries,ifbkolkata.com,FLAGGED - EXISTING CUSTOMER
Waaree Energies,Waaree Energies Ltd,FLAGGED - EXISTING CUSTOMER
JSPL (Semis),P,FLAGGED - EXISTING CUSTOMER
JSW Steel (Long),Tata Steel Long Products Ltd,FLAGGED - EXISTING CUSTOMER
Bajaj Electricals,Linclimited,FLAGGED - EXISTING CUSTOMER
Dr. Reddy's Labs,Dr Reddys Laboratories Ltd,FLAGGED - EXISTING CUSTOMER
Sharda Cropchem,P,FLAGGED - EXISTING CUSTOMER
Paradeep Phosphates,Rama Phosphates Ltd,FLAGGED - EXISTING CUSTOMER
Amazon India,Pharmazone,FLAGGED - EXISTING CUSTOMER
Haldirams,Linclimited,FLAGGED - EXISTING CUSTOMER
Haldiram's,Linclimited,FLAGGED - EXISTING CUSTOMER
Rockman Industries,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Dixon Technologies,Omnia Technologies Pvt,FLAGGED - EXISTING CUSTOMER
TVS Motor,TVS Motor Company Ltd,FLAGGED - EXISTING CUSTOMER
CCL (Central Coalfields),Central Coalfields Limited,FLAGGED - EXISTING CUSTOMER
Bajaj Auto,Bajaj,FLAGGED - EXISTING CUSTOMER
Tata Consumer,Tata Consumer Products Limited,FLAGGED - EXISTING CUSTOMER
ONGC Petro,P,FLAGGED - EXISTING CUSTOMER
CEAT Specialty,CEA,FLAGGED - EXISTING CUSTOMER
Meghmani Organics,AMI ORGANICS LIMITED,FLAGGED - EXISTING CUSTOMER
National Fertilizers Ltd,National Fertilizers Limited,FLAGGED - EXISTING CUSTOMER
Jindal Aluminium,Jindal Industries,FLAGGED - EXISTING CUSTOMER
Gujarat Mineral Development,Inera,FLAGGED - EXISTING CUSTOMER
MDH Spices,SPIC Ltd,FLAGGED - EXISTING CUSTOMER
Wipro Consumer,Wipro,FLAGGED - EXISTING CUSTOMER
KRIBHCO,kribhco,FLAGGED - EXISTING CUSTOMER
Aditya Birla Fashion,Aditya Birla,FLAGGED - EXISTING CUSTOMER
Mercedes-Benz India,Gargash Enterprises / Mercedes-Benz Dubai,FLAGGED - EXISTING CUSTOMER
Vardhman Textiles,DMC Textiles,FLAGGED - EXISTING CUSTOMER
Whirlpool India,P,FLAGGED - EXISTING CUSTOMER
ECL (Eastern Coalfields),Linclimited,FLAGGED - EXISTING CUSTOMER
DCM Shriram,DCM SHRIRAM LIMITED,FLAGGED - EXISTING CUSTOMER
Blue Star Ltd,Linclimited,FLAGGED - EXISTING CUSTOMER
Olam India,Linclimited,FLAGGED - EXISTING CUSTOMER
Jindal SAW,Jindal SAW,FLAGGED - EXISTING CUSTOMER
Rashtriya Chemicals,ASK Chemicals,FLAGGED - EXISTING CUSTOMER
Colgate-Palmolive,Ate India,FLAGGED - EXISTING CUSTOMER
Aarti Industries,Aarti Steels Private Limited,FLAGGED - EXISTING CUSTOMER
Deepak Nitrite,Deepak Nitrite Ltd,FLAGGED - EXISTING CUSTOMER
Endurance Technologies,Omnia Technologies Pvt,FLAGGED - EXISTING CUSTOMER
HMEL (HPCL-Mittal),HMEL,FLAGGED - EXISTING CUSTOMER
CPCL,P,FLAGGED - EXISTING CUSTOMER
Ola Electric,Ola Electric,FLAGGED - EXISTING CUSTOMER
JSPL (TMT),P,FLAGGED - EXISTING CUSTOMER
Reliance Retail,Spencer Retail,FLAGGED - EXISTING CUSTOMER
Reliance Industries Retail (Polymer Dist),P,FLAGGED - EXISTING CUSTOMER
NCL (Northern Coalfields),Linclimited,FLAGGED - EXISTING CUSTOMER
UltraTech (Mining),UltraTech Cement,FLAGGED - EXISTING CUSTOMER
Volvo-Eicher,A Volvo Group & Eicher Motors,FLAGGED - EXISTING CUSTOMER
Hindalco (Mining),HINDALCO INDUSTRIES LTD,FLAGGED - EXISTING CUSTOMER
Tata Projects,SANMARG Projects,FLAGGED - EXISTING CUSTOMER
Tata Chemicals,Grand Chemicals,FLAGGED - EXISTING CUSTOMER
Sterlite Technologies,Mtar technologies,FLAGGED - EXISTING CUSTOMER
Essel Mining (Aditya Birla),Aditya Birla,FLAGGED - EXISTING CUSTOMER
BPCL (Projects),NKC Projects Pvt,FLAGGED - EXISTING CUSTOMER
Shyam Metalics,HANSA METALLICS LIMITED,FLAGGED - EXISTING CUSTOMER
Birla Opus (Grasim),P,FLAGGED - EXISTING CUSTOMER
Tata Consumer Products,Jubilant Agri and Consumer Products Ltd,FLAGGED - EXISTING CUSTOMER
Royal Enfield,Linclimited,FLAGGED - EXISTING CUSTOMER
ABD (Allied Blenders),Linclimited,FLAGGED - EXISTING CUSTOMER
Hatsun Agro,ATS,FLAGGED - EXISTING CUSTOMER
IOCL (Projects),Hitech Projects Pvt,FLAGGED - EXISTING CUSTOMER
Alkem Labs,Linclimited,FLAGGED - EXISTING CUSTOMER
Mankind Pharma,Indus Pharma,FLAGGED - EXISTING CUSTOMER
Ambuja Cement (Mining),AMBUJA CEMENTS LIMITED -,FLAGGED - EXISTING CUSTOMER
Varun Beverages,Diamond Beverages,FLAGGED - EXISTING CUSTOMER
Honda Cars India,Honda,FLAGGED - EXISTING CUSTOMER
HPCL (Projects),Hitech Projects Pvt,FLAGGED - EXISTING CUSTOMER
Suzlon Energy,Linclimited,FLAGGED - EXISTING CUSTOMER
Parle Agro,Parle Agro,FLAGGED - EXISTING CUSTOMER
Skoda Auto VW,SKODA AUTO Volkswagen India Private Limited,FLAGGED - EXISTING CUSTOMER
Karnataka Milk Federation,Linclimited,FLAGGED - EXISTING CUSTOMER
Imports (Port Delivery),DELIVER,FLAGGED - EXISTING CUSTOMER
NMDC,nmdc-group.com,FLAGGED - EXISTING CUSTOMER
KEC International,Deltrade International,FLAGGED - EXISTING CUSTOMER
Astral Ltd,ASAL,FLAGGED - EXISTING CUSTOMER
RIL Retail (Polymer Dist),P,FLAGGED - EXISTING CUSTOMER
Chambal Fertilisers,Chambal Fertilisers and Chemicals Ltd. (CFCL),FLAGGED - EXISTING CUSTOMER
Raymond Ltd,Raymond,FLAGGED - EXISTING CUSTOMER
OMC Ltd (Odisha Mining),Odisha Mining Corporation Limited,FLAGGED - EXISTING CUSTOMER
PI Industries,Paras Spices,FLAGGED - EXISTING CUSTOMER
SRF Ltd (Tech Textiles),ECH,FLAGGED - EXISTING CUSTOMER
Texmaco Rail,Linclimited,FLAGGED - EXISTING CUSTOMER
3M India,3M India Ltd,FLAGGED - EXISTING CUSTOMER
Diamond Power,Diamond,FLAGGED - EXISTING CUSTOMER
Ashapura Minechem,ECH,FLAGGED - EXISTING CUSTOMER
Vijay Solvex,Vijay Sales,FLAGGED - EXISTING CUSTOMER
CG Power & Industrial,P,FLAGGED - EXISTING CUSTOMER
Tata AutoComp,TATA AutoComp Systems Ltd,FLAGGED - EXISTING CUSTOMER
HEG Ltd,HEG LIMITED,FLAGGED - EXISTING CUSTOMER
L&T Construction & Mining,L&T Technology Services,FLAGGED - EXISTING CUSTOMER
Fine Organic,AMI ORGANICS LIMITED,FLAGGED - EXISTING CUSTOMER
Orient Electric,Orient Electric Limited,FLAGGED - EXISTING CUSTOMER
Time Technoplast,ECH,FLAGGED - EXISTING CUSTOMER
Syrma SGS,SYRMA SGS,FLAGGED - EXISTING CUSTOMER
Paramount Cables,P,FLAGGED - EXISTING CUSTOMER
Ellenbarrie Industrial Gases,Linclimited,FLAGGED - EXISTING CUSTOMER
Jupiter Wagons,P,FLAGGED - EXISTING CUSTOMER
Tata Steel (Railway),Tata Steel Long Products Ltd,FLAGGED - EXISTING CUSTOMER
Anand Automotive,Tenneco Automotive,FLAGGED - EXISTING CUSTOMER
Tata Hitachi Construction Machinery,Tata Hitachi Construction Materials Manufacturing - End to End TMS,FLAGGED - EXISTING CUSTOMER
Bata India,Bata India,FLAGGED - EXISTING CUSTOMER
Rail Wheel Factory,Linclimited,FLAGGED - EXISTING CUSTOMER
Bikanervala,Linclimited,FLAGGED - EXISTING CUSTOMER
Fosroc India,Fosroc ( END  to END TMS ),FLAGGED - EXISTING CUSTOMER
RHI Magnesita,RHI Magnesita,FLAGGED - EXISTING CUSTOMER
Filatex India,Ate India,FLAGGED - EXISTING CUSTOMER
Solara Active Pharma,P,FLAGGED - EXISTING CUSTOMER
Kaynes Technology,ECH,FLAGGED - EXISTING CUSTOMER
Saint-Gobain India,Saint-Gobain,FLAGGED - EXISTING CUSTOMER
Kirloskar Oil Engines,Linclimited,FLAGGED - EXISTING CUSTOMER
Tata Metaliks (DI),Linclimited,FLAGGED - EXISTING CUSTOMER
Lloyds Metals,Lloyds Metals & Energy,FLAGGED - EXISTING CUSTOMER
DCM Shriram (Chlor-Alkali),DCM SHRIRAM LIMITED,FLAGGED - EXISTING CUSTOMER
Apollo Tyres (Rubber),P,FLAGGED - EXISTING CUSTOMER
Yazaki India,Yazaki India Pvt Ltd,FLAGGED - EXISTING CUSTOMER
K.P.R. Mill,KPR Mill Limited,FLAGGED - EXISTING CUSTOMER
Mars India,Maersk,FLAGGED - EXISTING CUSTOMER
Indo Alusys,Linclimited,FLAGGED - EXISTING CUSTOMER
Fenner India,Renner,FLAGGED - EXISTING CUSTOMER
Balasore Alloys,Linclimited,FLAGGED - EXISTING CUSTOMER
L&T Hydrocarbon,L&T Technology Services,FLAGGED - EXISTING CUSTOMER
Bombay Dyeing,Bombay Dyeing,FLAGGED - EXISTING CUSTOMER
Adani Solar (Mundra),Linclimited,FLAGGED - EXISTING CUSTOMER
SOM Distilleries,Linclimited,FLAGGED - EXISTING CUSTOMER
Leela Ship Recycling,P,FLAGGED - EXISTING CUSTOMER
Astral Adhesives,Linclimited,FLAGGED - EXISTING CUSTOMER
Godrej Process Equipment,Godrej,FLAGGED - EXISTING CUSTOMER
Garden Silk Mills,Linclimited,FLAGGED - EXISTING CUSTOMER
Godawari Power,Goldstar Power Limited,FLAGGED - EXISTING CUSTOMER
MOIL (Manganese),MOIL Ltd(Manganese Ore India Ltd),FLAGGED - EXISTING CUSTOMER
Relaxo Footwears,Relaxo Footwears Ltd,FLAGGED - EXISTING CUSTOMER
Vedanta (Aluminium),Vedanta,FLAGGED - EXISTING CUSTOMER
Globus Spirits,Globus Spirits Ltd,FLAGGED - EXISTING CUSTOMER
Gujarat Ambuja Exports,XP India,FLAGGED - EXISTING CUSTOMER
Maithan Alloys,Linclimited,FLAGGED - EXISTING CUSTOMER
Kirloskar Brothers,Linclimited,FLAGGED - EXISTING CUSTOMER
Phillips Carbon,HIL LIMITED,FLAGGED - EXISTING CUSTOMER
D.P. Wires,D P Logistics,FLAGGED - EXISTING CUSTOMER
Vinati Organics,AMI ORGANICS LIMITED,FLAGGED - EXISTING CUSTOMER
IOCL (Bitumen),OCL INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
RVNL,Linclimited,FLAGGED - EXISTING CUSTOMER
Uflex Ltd,Linclimited,FLAGGED - EXISTING CUSTOMER
Bayer CropScience,P,FLAGGED - EXISTING CUSTOMER
Glencore India,Glencore plc,FLAGGED - EXISTING CUSTOMER
Gujarat Fluorochemicals,Gujarat Florochemical,FLAGGED - EXISTING CUSTOMER
DMart (Staples),P,FLAGGED - EXISTING CUSTOMER
Thriveni Earthmovers,Thriveni Earthmovers,FLAGGED - EXISTING CUSTOMER
Mandi Gobindgarh Cluster,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Hindustan Unilever (Foods),Linclimited,FLAGGED - EXISTING CUSTOMER
Flipkart (Walmart),P,FLAGGED - EXISTING CUSTOMER
Amber Enterprises,KR ENTERPRISES,FLAGGED - EXISTING CUSTOMER
Divi's Labs,Divi's Laboratories Limited,FLAGGED - EXISTING CUSTOMER
SSLT (Sesa Sterlite),Linclimited,FLAGGED - EXISTING CUSTOMER
Solvent Extractors Assn,Linclimited,FLAGGED - EXISTING CUSTOMER
Megha Engineering,Khosla Engineering - India,FLAGGED - EXISTING CUSTOMER
UltraTech (Captive),Ate India,FLAGGED - EXISTING CUSTOMER
Jindal Poly Films,Jindal Industries,FLAGGED - EXISTING CUSTOMER
V-Guard Industries,Livguard,FLAGGED - EXISTING CUSTOMER
Piramal Pharma,P,FLAGGED - EXISTING CUSTOMER
Nagarjuna Fertilisers,Linclimited,FLAGGED - EXISTING CUSTOMER
GNFC Ltd,Nfcl,FLAGGED - EXISTING CUSTOMER
Ircon International,Believe International,FLAGGED - EXISTING CUSTOMER
RINL (Vizag Steel),Linclimited,FLAGGED - EXISTING CUSTOMER
Radico Khaitan,Radico Khaitan,FLAGGED - EXISTING CUSTOMER
Afcons Infrastructure,ABAN INFRASTRUCTURE PRIVATE LIMITED,FLAGGED - EXISTING CUSTOMER
IPCA Labs,Umedica Labs,FLAGGED - EXISTING CUSTOMER
Essar Steel (AM/NS),Linclimited,FLAGGED - EXISTING CUSTOMER
Alok Industries,Alok Transport,FLAGGED - EXISTING CUSTOMER
Galaxy Surfactants,Linclimited,FLAGGED - EXISTING CUSTOMER
BCCL (Bharat Coking),Linclimited,FLAGGED - EXISTING CUSTOMER
GE Vernova India,GE Vernova,FLAGGED - EXISTING CUSTOMER
Kisan Mouldings,KisaN Mouldings Limited,FLAGGED - EXISTING CUSTOMER
Ferrero India,Ferrero,FLAGGED - EXISTING CUSTOMER
Page Industries (Jockey),Page Industries Ltd,FLAGGED - EXISTING CUSTOMER
Lloyd (Havells),HAVELLS INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
CEAT Ltd,CEA,FLAGGED - EXISTING CUSTOMER
IMFA,IMAC,FLAGGED - EXISTING CUSTOMER
Shalimar Paints,Shalimar Paints - End to End TMS,FLAGGED - EXISTING CUSTOMER
ACC Ltd (Mining),ACC Limited,FLAGGED - EXISTING CUSTOMER
Linde India,The Linde Group,FLAGGED - EXISTING CUSTOMER
Gopaljee (Ananda),Gopaljee Agriculture Foods Pvt Ltd (Ananda),FLAGGED - EXISTING CUSTOMER
Ramkrishna Forgings,Ramkrishna Forgings Ltd,FLAGGED - EXISTING CUSTOMER
Maharashtra Seamless,Linclimited,FLAGGED - EXISTING CUSTOMER
TIL Limited,theeastsidedistillery.com,FLAGGED - EXISTING CUSTOMER
INOX Air Products,INOX Air Products,FLAGGED - EXISTING CUSTOMER
Bodal Chemicals,Baalbaki Chemical Industries,FLAGGED - EXISTING CUSTOMER
Syngenta India,Syngenta India Ltd,FLAGGED - EXISTING CUSTOMER
Dow Chemicals,Grand Chemicals,FLAGGED - EXISTING CUSTOMER
AB InBev India,AB InBev India,FLAGGED - EXISTING CUSTOMER
Agro Tech Foods,ECH,FLAGGED - EXISTING CUSTOMER
Mukand Ltd,Mukand Sumi Special Steel Ltd,FLAGGED - EXISTING CUSTOMER
Bisleri International,Believe International,FLAGGED - EXISTING CUSTOMER
GSFC Ltd,GSFC,FLAGGED - EXISTING CUSTOMER
Reliance Retail (Foods),Linclimited,FLAGGED - EXISTING CUSTOMER
Alang Ship Breaking Assn,P,FLAGGED - EXISTING CUSTOMER
Shree Renuka (Wilmar),Linclimited,FLAGGED - EXISTING CUSTOMER
Serum Institute,Serum Institute of India Pvt,FLAGGED - EXISTING CUSTOMER
Louis Dreyfus (Oils),Louis Dreyfus,FLAGGED - EXISTING CUSTOMER
GAIL (Projects),Alstom Projects India Ltd,FLAGGED - EXISTING CUSTOMER
Indigo Paints,INDIGO PAINTS LIMITED,FLAGGED - EXISTING CUSTOMER
