Company,Category,Segment,HQ,Sales_Rs_Cr,Employees,Total_Logistics_Spend_Rs_Cr,Key_Locations,tier0_score,original_tier,website_url,linkedin_url,has_trigger_news,trigger_news_count,total_contacts,dm_contact_count,best_contact,has_stated_priorities,priority_signals,priority_signal_count,has_it_hiring,it_hiring_summary,final_score,final_tier
Cipla Ltd,FMCG & Consumer,Pharma Healthcare,Mumbai,25500.0,25000.0,275.0,"Goa, Baddi, Patalganga (MH), Kurkumbh (MH)",80,C,https://www.cipla.com,https://www.linkedin.com/company/cipla,True,1,0,0,,True,"digital_transformation,expansion",2,False,,111,B
AM/NS India,Steel & Metals,Steel Coils,Mumbai,55000.0,12000.0,200.0,Hazira (GJ),80,C,https://www.amns.com,https://www.linkedin.com/company/amns,True,1,0,0,,True,"digital_transformation,expansion",2,False,,111,B
Royal Enfield (Eicher),Auto & Engineering,Two Wheelers Tractors,Chennai,17000.0,6500.0,166.0,"Oragadam (TN), Vallam (TN), Tiruvottiyur (TN)",80,C,,https://www.linkedin.com/company/royal-enfield-eicher,True,1,0,0,,True,"digital_transformation,expansion",2,False,,111,B
RR Global,Steel & Metals,Non Ferrous Metals,Jaipur,5500.0,2500.0,110.0,"Jaipur (RJ), Silvassa, Bhiwadi",75,C,https://www.rrglobal.com,https://www.linkedin.com/company/rr-global,True,1,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,110,B
Henkel India,Chemicals & Petrochemicals,Adhesives Sealants,Mumbai,2500.0,1500.0,41.0,"Thane (MH), Pune, Chennai",65,C,https://www.henkel.com,https://www.linkedin.com/company/henkel,True,2,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,110,B
Havells India,FMCG & Consumer,Consumer Durables,Noida,18000.0,7500.0,430.0,"Haridwar (UK), Baddi (HP), Neemrana (RJ), Alwar (RJ), Noida (UP)",85,C,https://www.havells.com,https://www.linkedin.com/company/havells,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,110,B
Ashok Leyland,Auto & Engineering,Auto Oem,Chennai,45000.0,12000.0,440.0,"Ennore (TN), Hosur (TN), Pantnagar (UK), Alwar (RJ), Vijayawada",90,B,https://www.ashokleyland.com,https://www.linkedin.com/company/ashok-leyland,True,2,0,0,,False,"digital_transformation,expansion,cost_optimization",3,False,,110,B
Kansai Nerolac,Chemicals & Petrochemicals,Paints Coatings,Mumbai,7500.0,3500.0,215.0,"Lote (MH), Jainpur (UP), Bawal (HR), Hosur (TN), Sayakha (GJ)",85,C,https://www.kansainerolac.com,https://www.linkedin.com/company/kansai-nerolac,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,110,B
ITC Foods,FMCG & Consumer,Food Processing,Kolkata,18000.0,8000.0,190.0,"Pune, Haridwar, Kolkata, Tumkur, Chennai",85,C,https://www.itcfoods.com,https://www.linkedin.com/company/itc-foods,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,110,B
ONGC,Energy & Fuel,Oil Gas Services,Delhi,150000.0,30000.0,220.0,"Mumbai Offshore, Ahmedabad, Assam, KG Basin",75,C,https://www.ongc.com,https://www.linkedin.com/company/ongc,True,1,0,0,,True,"digital_transformation,cost_optimization,sustainability",3,False,,109,B
Supreme Industries,Chemicals & Petrochemicals,Petrochemicals Polymers,Mumbai,10500.0,8000.0,255.0,Pan-India,75,C,https://www.supreme.com,https://www.linkedin.com/company/supreme,True,1,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,109,B
Secondary Steel Mills,Steel & Metals,Metal Scrap,,25000.0,30000.0,340.0,"Raipur, Mandi Gobindgarh, Ghaziabad",75,C,,https://www.linkedin.com/company/secondary-steel-mills,True,1,0,0,,True,"digital_transformation,logistics_tech,cost_optimization",3,False,,109,B
Samsung India,FMCG & Consumer,Consumer Durables,Gurugram,35000.0,8000.0,775.0,"Noida (UP), Sriperumbudur (TN)",85,C,https://www.samsung.com,https://www.linkedin.com/company/samsung,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,109,B
JSPL (Jindal Steel),Steel & Metals,Steel Coils,Delhi,65000.0,20000.0,165.0,"Angul (OD), Raigarh (CG), Patratu (JH)",85,C,,https://www.linkedin.com/company/jspl-jindal-steel,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,109,B
Dabur India,FMCG & Consumer,Fmcg Foods Personal Care,Delhi,11500.0,7000.0,342.0,"Baddi (HP), Haridwar (UK), Silvassa, Alwar",85,C,https://www.dabur.com,https://www.linkedin.com/company/dabur,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,109,B
KPR Mill,FMCG & Consumer,Textiles Apparel,Coimbatore,6500.0,40000.0,179.0,"Coimbatore (TN), Tirupur (TN), Arasur (TN)",75,C,https://www.kprmill.com,https://www.linkedin.com/company/kpr-mill,True,1,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,109,B
Mahindra Tractors,Auto & Engineering,Two Wheelers Tractors,Mumbai,35000.0,15000.0,325.0,"Kandivali (MH), Nagpur (MH), Jaipur (RJ), Zaheerabad (TS), Rudrapur (UK)",85,C,https://www.mahindratractors.com,https://www.linkedin.com/company/mahindra-tractors,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,109,B
Louis Dreyfus,FMCG & Consumer,Food Grains Staples,Geneva,15000.0,1000.0,295.0,"Kandla (GJ), Kakinada (AP), Mumbai",75,C,https://www.louisdreyfus.com,https://www.linkedin.com/company/louis-dreyfus,True,1,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,109,B
Reckitt India,FMCG & Consumer,Fmcg Foods Personal Care,Gurugram,6500.0,3500.0,205.0,"Hosur (TN), Baddi (HP), Sitarganj (UK)",75,C,https://www.reckitt.com,https://www.linkedin.com/company/reckitt,True,1,0,0,,True,"digital_transformation,cost_optimization,sustainability",3,False,,109,B
Arvind Ltd,FMCG & Consumer,Textiles Apparel,Ahmedabad,8500.0,25000.0,240.0,"Naroda (GJ), Ahmedabad, Santej (GJ), Ethiopia",75,C,https://www.arvind.com,https://www.linkedin.com/company/arvind,True,1,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,109,B
APL Apollo Tubes,Steel & Metals,Steel Pipes Tubes,Delhi,18000.0,5000.0,198.0,"Raipur (CG), Hosur (TN), Sikandrabad (UP), Murbad (MH), Dubai",85,C,,https://www.linkedin.com/company/apl-apollo-tubes,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,109,B
Toyota Kirloskar,Auto & Engineering,Auto Oem,Bangalore,55000.0,8000.0,325.0,Bidadi (KA),85,C,,https://www.linkedin.com/company/toyota-kirloskar,False,0,0,0,,True,"digital_transformation,cost_optimization,sustainability",3,False,,109,B
Hero MotoCorp,Auto & Engineering,Two Wheelers Tractors,Delhi,40000.0,10000.0,380.0,"Dharuhera (HR), Gurugram (HR), Haridwar (UK), Neemrana (RJ), Halol (GJ), Chittoor (AP), Vadodara (GJ), Colombia",85,C,https://www.heromotocorp.com,https://www.linkedin.com/company/hero-motocorp,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,109,B
NTPC (Capex),Auto & Engineering,Project Cargo,Delhi,150000.0,20000.0,230.0,Pan-India,80,C,,https://www.linkedin.com/company/ntpc-capex,True,1,0,0,,True,digital_transformation,1,False,,108,B
L&T (Heavy Engineering),Auto & Engineering,Project Cargo,Mumbai,150000.0,50000.0,305.0,"Hazira (GJ), Powai (MH), Vadodara",90,C,,https://www.linkedin.com/company/landt-heavy-engineering,False,0,0,0,,True,digital_transformation,1,False,,108,B
JSW Steel Ltd,Steel & Metals,Steel Coils,Mumbai,180000.0,45000.0,465.0,"Dolvi (MH), Vijayanagar (KA), Salem (TN), Raigarh (CG)",90,C,https://www.jswsteel.com,https://www.linkedin.com/company/jsw-steel,False,0,0,0,,True,digital_transformation,1,False,,108,B
Cargill India,FMCG & Consumer,Fmcg Foods Personal Care,Gurugram,45000.0,4000.0,680.0,"Kandla (GJ), Kurkumbh (MH), Yavatmal",90,C,https://www.cargill.com,https://www.linkedin.com/company/cargill,False,0,0,0,,True,digital_transformation,1,False,,108,B
Parle Products,FMCG & Consumer,Fmcg Foods Personal Care,Mumbai,15000.0,8000.0,475.0,"Vile Parle (MH), Bahadurgarh, Neemrana, Khopoli",80,C,https://www.parleproducts.com,https://www.linkedin.com/company/parle-products,True,1,0,0,,True,digital_transformation,1,False,,108,B
Bunge India,FMCG & Consumer,Food Grains Staples,Mumbai,20000.0,1500.0,245.0,"Rajpura (PB), Kandla, Krishnapatnam",85,C,https://www.bunge.com,https://www.linkedin.com/company/bunge,False,0,0,0,,True,"digital_transformation,cost_optimization",2,False,,106,B
Finolex Cables,Auto & Engineering,Wires Cables,Pune,5000.0,3000.0,79.0,"Pune (MH), Goa, Roorkee",65,C,,https://www.linkedin.com/company/finolex-cables,True,2,0,0,,True,"digital_transformation,expansion",2,False,,106,B
Pidilite (Roff/Dr. Fixit),Chemicals & Petrochemicals,Paints Coatings,Mumbai,12500.0,6800.0,327.0,"Vapi (GJ), Roha (MH), Baddi, Alwar",85,C,,https://www.linkedin.com/company/pidilite-roffdr-fixit,False,0,0,0,,True,"digital_transformation,expansion",2,False,,106,B
Pidilite Industries,Chemicals & Petrochemicals,Adhesives Sealants,Mumbai,12000.0,6000.0,137.0,"Mahad (MH), Vapi (GJ), Baddi (HP), Pantnagar (UK), Dahej (GJ)",85,C,https://www.pidilite.com,https://www.linkedin.com/company/pidilite,False,0,0,0,,True,"digital_transformation,expansion",2,False,,106,B
IMFA (Indian Metals),Steel & Metals,Ferro Alloys,Bhubaneswar,2500.0,3500.0,66.0,"Choudwar (OD), Therubali, Bamnipal",65,C,,https://www.linkedin.com/company/imfa-indian-metals,True,2,0,0,,True,"digital_transformation,expansion",2,False,,106,B
Waaree Energies,Energy & Fuel,Solar Renewable,Mumbai,12000.0,4000.0,315.0,"Surat (GJ), Tumb (GJ), Chikhli (GJ), USA",65,C,,https://www.linkedin.com/company/waaree-energies,True,2,0,0,,True,"digital_transformation,expansion",2,False,,106,B
UFLEX Ltd,Chemicals & Petrochemicals,Petrochemicals Polymers,Noida,12000.0,8000.0,260.0,"Noida (UP), Jammu, Dubai, Egypt, Poland",85,C,https://www.uflex.in,https://www.linkedin.com/company/uflex,False,0,0,0,,True,"digital_transformation,expansion",2,False,,106,B
SAIL (Long Products),Steel & Metals,Steel Structural,Delhi,40000.0,20000.0,232.0,"Rourkela (OD), Bhilai (CG), Durgapur (WB), Bokaro (JH), Burnpur (WB)",85,C,,https://www.linkedin.com/company/sail-long-products,False,0,0,0,,True,"digital_transformation,expansion",2,False,,106,B
Atul Ltd,Chemicals & Petrochemicals,Specialty Chemicals,Valsad,5800.0,5500.0,172.0,"Atul (GJ), Ankleshwar (GJ), Tarapur (MH)",75,C,https://www.atul.com,https://www.linkedin.com/company/atul,True,1,0,0,,True,"digital_transformation,cost_optimization",2,False,,106,B
Tata Steel Mining,Mining & Minerals,Mining Minerals,Jamshedpur,15000.0,4000.0,215.0,"Noamundi (JH), Joda (OD), Khondbond",85,C,,https://www.linkedin.com/company/tata-steel-mining,False,0,0,0,,True,"digital_transformation,cost_optimization",2,False,,106,B
Mondelez India,FMCG & Consumer,Fmcg Foods Personal Care,Mumbai,8500.0,4500.0,255.0,"Baddi (HP), Induri (MH), Sricity (AP)",75,C,https://www.mondelez.com,https://www.linkedin.com/company/mondelez,True,1,0,0,,True,"digital_transformation,cost_optimization",2,False,,106,B
Patanjali (Divya Pharmacy),FMCG & Consumer,Food Grains Staples,Haridwar,12000.0,15000.0,295.0,"Haridwar (UK), Newasa (MH), Nagpur",85,C,,https://www.linkedin.com/company/patanjali-divya-pharmacy,False,0,0,0,,True,"digital_transformation,expansion",2,False,,106,B
Godrej Consumer,FMCG & Consumer,Fmcg Foods Personal Care,Mumbai,13500.0,5500.0,410.0,"Baddi (HP), Malanpur (MP), Guwahati, Puducherry",85,C,,https://www.linkedin.com/company/godrej-consumer,False,0,0,0,,True,"digital_transformation,logistics_tech",2,False,,106,B
Mother Dairy,FMCG & Consumer,Dairy Products,Delhi,15000.0,4000.0,113.0,"Delhi, Jaipur, Hyderabad, Bangalore, Mumbai, Kolkata",85,C,https://www.motherdairy.com,https://www.linkedin.com/company/mother-dairy,False,0,0,0,,True,"digital_transformation,expansion",2,False,,106,B
Finolex Industries,Chemicals & Petrochemicals,Petrochemicals Polymers,Pune,4800.0,2800.0,102.0,"Ratnagiri (MH), Pune",75,C,https://www.finolex.com,https://www.linkedin.com/company/finolex,True,1,0,0,,True,"digital_transformation,expansion",2,False,,106,B
BALCO (Vedanta),Steel & Metals,Non Ferrous Metals,Delhi,12000.0,3500.0,200.0,Korba (CG),75,C,,https://www.linkedin.com/company/balco-vedanta,True,1,0,0,,True,"digital_transformation,expansion",2,False,,106,B
Chemplast Sanmar,Chemicals & Petrochemicals,Petrochemicals Polymers,Chennai,5500.0,3000.0,120.0,"Mettur (TN), Cuddalore (TN)",75,C,https://www.chemplastsanmar.com,https://www.linkedin.com/company/chemplast-sanmar,True,1,0,0,,True,"digital_transformation,expansion",2,False,,106,B
ITC Ltd (Aashirvaad),FMCG & Consumer,Food Grains Staples,Kolkata,8000.0,5000.0,195.0,"Kapurthala (PB), Haridwar (UK), Munger (BR)",80,C,,https://www.linkedin.com/company/itc-aashirvaad,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,105,B
P&G India,FMCG & Consumer,Fmcg Foods Personal Care,Mumbai,15000.0,4000.0,475.0,"Bhiwadi (RJ), Hyderabad, Mandideep, Baddi",80,C,https://www.pg.com,https://www.linkedin.com/company/pandg,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,105,B
Motherson Sumi,Steel & Metals,Non Ferrous Metals,Noida,95000.0,135000.0,1350.0,"Noida, Pune, Chennai, Sanand",105,B,https://www.mothersonsumi.com,https://www.linkedin.com/company/motherson-sumi,False,0,0,0,,False,"digital_transformation,expansion,cost_optimization",3,False,,105,B
Pernod Ricard India,FMCG & Consumer,Beverages,Mumbai,8500.0,3000.0,242.0,"Nashik (MH), Behror (RJ), Kolar (KA), Goa, Kolhapur",80,C,https://www.pernodricard.com,https://www.linkedin.com/company/pernod-ricard,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,105,B
Vedanta Resources (Holding),Steel & Metals,Non Ferrous Metals,London,350000.0,75000.0,2600.0,Pan-India,105,B,,https://www.linkedin.com/company/vedanta-resources-holding,False,0,0,0,,False,"digital_transformation,expansion",2,False,,105,B
Tata Steel (Plates),Steel & Metals,Steel Flats Longs,Mumbai,45000.0,15000.0,198.0,"Jamshedpur (JH), Kalinganagar (OD), Meramandali (OD)",80,C,,https://www.linkedin.com/company/tata-steel-plates,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,105,B
LT Foods (Daawat),FMCG & Consumer,Food Grains Staples,Gurugram,7500.0,3500.0,180.0,"Sonipat (HR), Mandideep (MP), Amritsar (PB)",80,C,,https://www.linkedin.com/company/lt-foods-daawat,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,104,B
TVS Motor,Auto & Engineering,Auto Oem,Chennai,35000.0,8000.0,307.0,"Hosur (TN), Mysore, Nalagarh (HP)",80,C,https://www.tvsmotor.com,https://www.linkedin.com/company/tvs-motor,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,104,B
Honda 2W,Auto & Engineering,Auto Oem,Delhi,32000.0,7000.0,273.0,"Manesar (HR), Tapukara (RJ), Narsapura (KA), Gujarat",80,C,https://www.honda2w.com,https://www.linkedin.com/company/honda-2w,False,0,0,0,,True,"digital_transformation,cost_optimization,sustainability",3,False,,104,B
Apar Industries,Steel & Metals,Non Ferrous Metals,Mumbai,15000.0,4000.0,305.0,"Silvassa, Vadodara (GJ), Jharsuguda (OD)",80,C,https://www.apar.com,https://www.linkedin.com/company/apar,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,104,B
