Company,Category,Segment,Sub_Segment,Account_Type,HQ,Key_Locations,Sales_Rs_Cr,Employees,Total_Logistics_Spend_Rs_Cr,Priority,tier0_score,tier0_tier
Tata Steel Ltd,Steel & Metals,Steel Coils,Integrated,Expansion,Mumbai,"Jamshedpur (JH), Kalinganagar (OD), Meramandali (OD)",250000.0,75000.0,580.0,,100,high_priority
Adani Wilmar,FMCG & Consumer,Food Grains Staples,Edible Oil/Staples,Expansion,Ahmedabad,"Mundra (GJ), Haldia (WB), Mangalore, Bundi",56000.0,5500.0,650.0,,100,high_priority
GAIL India,Chemicals & Petrochemicals,Petrochemicals Polymers,Polymers,Expansion,Delhi,"Pata (UP), Usar (MH)",135000.0,4500.0,680.0,,100,high_priority
UPL Ltd,Chemicals & Petrochemicals,Agrochemicals,Crop Protection,Expansion,Mumbai,"Ankleshwar (GJ), Vapi (GJ), Jhagadia (GJ), Halol, Global",54000.0,14000.0,680.0,,100,high_priority
Britannia Industries,FMCG & Consumer,Fmcg Foods Personal Care,Biscuits/Dairy,Expansion,Bangalore,"Kolkata, Guwahati, Chennai, Rudrapur, Ranjangaon",17000.0,5000.0,545.0,,100,high_priority
HPCL,Chemicals & Petrochemicals,Petrochemicals Polymers,Refinery-Petrochem,Penetration,Mumbai,"Vizag (AP), Mumbai, Bhatinda",450000.0,10000.0,850.0,,100,high_priority
ITC Ltd (FMCG),FMCG & Consumer,Fmcg Foods Personal Care,Multi-category,Expansion,Kolkata,"Kolkata (WB), Pune, Haridwar, Munger, Kapurthala",20000.0,30000.0,850.0,,100,high_priority
IFFCO,Chemicals & Petrochemicals,Fertilizers,Cooperative,Expansion,Delhi,"Kalol (GJ), Kandla (GJ), Phulpur (UP), Aonla (UP), Paradeep (OD), Babrala (UP)",45000.0,6000.0,765.0,,95,high_priority
Nestle India,FMCG & Consumer,Fmcg Foods Personal Care,Foods,Expansion,Gurugram,"Nanjangud (KA), Samalkha (HR), Moga (PB), Tahliwal (HP)",19000.0,8500.0,595.0,,95,high_priority
SAIL,Steel & Metals,Steel Coils,Integrated,Expansion,Delhi,"Bokaro (JH), Durgapur (WB), Rourkela (OD), Bhilai (CG), Burnpur (WB)",110000.0,60000.0,300.0,,95,high_priority
Varun Beverages (PepsiCo),FMCG & Consumer,Beverages,Soft Drinks,Expansion,Gurugram,"Pan-India (Greater Noida, Pathankot, Jaipur, Kolkata, Mumbai, Chennai, etc.)",18000.0,13000.0,510.0,,95,high_priority
BPCL,Chemicals & Petrochemicals,Petrochemicals Polymers,Refinery-Petrochem,Penetration,Mumbai,"Kochi (KL), Mumbai",550000.0,12000.0,605.0,,95,high_priority
Sun Pharma,FMCG & Consumer,Pharma Healthcare,Formulations/API,Expansion,Mumbai,"Halol (GJ), Baddi (HP), Guwahati, Dewas, Karkhadi",50000.0,40000.0,680.0,,95,high_priority
Adani Wilmar,FMCG & Consumer,Fmcg Foods Personal Care,Edible Oil/Foods,Penetration,Ahmedabad,"Mundra (GJ), Haldia (WB), Mangalore, Kakinada",56000.0,5500.0,850.0,,95,high_priority
Adani Wilmar,FMCG & Consumer,Edible Oils,Refining/FMCG,Expansion,Ahmedabad,"Mundra (GJ), Haldia (WB), Mangalore, Bundi",56000.0,5500.0,650.0,,95,high_priority
Hyundai Motor India,Auto & Engineering,Auto Oem,PV,Penetration,Chennai,"Sriperumbudur (TN), Talegaon (MH)",75000.0,15000.0,630.0,,90,high_priority
Ashok Leyland,Auto & Engineering,Auto Oem,CV,Expansion,Chennai,"Ennore (TN), Hosur (TN), Pantnagar (UK), Alwar (RJ), Vijayawada",45000.0,12000.0,440.0,,90,high_priority
JSW Steel Ltd,Steel & Metals,Steel Coils,Integrated,Expansion,Mumbai,"Dolvi (MH), Vijayanagar (KA), Salem (TN), Raigarh (CG)",180000.0,45000.0,465.0,,90,high_priority
L&T (Heavy Engineering),Auto & Engineering,Project Cargo,EPC,Expansion,Mumbai,"Hazira (GJ), Powai (MH), Vadodara",150000.0,50000.0,305.0,,90,high_priority
Berger Paints,Chemicals & Petrochemicals,Paints Coatings,Decorative,Expansion,Kolkata,"Rishra (WB), Pondicherry, Hindupur (AP), Jejuri (MH), Goa",11000.0,4500.0,308.0,,90,high_priority
Cargill India,FMCG & Consumer,Fmcg Foods Personal Care,Edible Oil/Foods,Penetration,Gurugram,"Kandla (GJ), Kurkumbh (MH), Yavatmal",45000.0,4000.0,680.0,,90,high_priority
Coal India Ltd (CIL),Energy & Fuel,Coal Fuel,Mining,Expansion,Kolkata,"Pan-India (JH, CG, OD, WB, MP, MH)",140000.0,250000.0,550.0,,90,high_priority
Hindustan Zinc,Steel & Metals,Non Ferrous Metals,Zinc/Lead,Expansion,Udaipur,"Debari, Chanderiya, Dariba, Zawar, Rampura Agucha (all RJ)",32500.0,4500.0,275.0,,90,high_priority
LG Electronics India,FMCG & Consumer,Consumer Durables,White/Brown,Expansion,Greater Noida,"Greater Noida (UP), Pune (MH), Ranjangaon (MH)",25000.0,6500.0,605.0,,90,high_priority
SAIL (Long Products),Steel & Metals,Steel Structural,Integrated,Expansion,Delhi,"Rourkela (OD), Bhilai (CG), Durgapur (WB), Bokaro (JH), Burnpur (WB)",40000.0,20000.0,232.0,,85,high_priority
Hero MotoCorp,Auto & Engineering,Auto Oem,2W,Penetration,Delhi,"Dharuhera, Gurugram, Haridwar, Neemrana, Halol, Chittoor",40000.0,10000.0,360.0,,85,high_priority
SRF Ltd,Chemicals & Petrochemicals,Petrochemicals Polymers,Specialty,Expansion,Gurugram,"Bhiwadi (RJ), Dahej (GJ), Kashipur (UK), Thailand",15000.0,8000.0,305.0,,85,high_priority
Mother Dairy,FMCG & Consumer,Dairy Products,Multi,Expansion,Delhi,"Delhi, Jaipur, Hyderabad, Bangalore, Mumbai, Kolkata",15000.0,4000.0,113.0,,85,high_priority
Dabur India,FMCG & Consumer,Fmcg Foods Personal Care,Ayurveda/Personal,Expansion,Delhi,"Baddi (HP), Haridwar (UK), Silvassa, Alwar",11500.0,7000.0,342.0,,85,high_priority
Hindustan Coca-Cola (HCCB),FMCG & Consumer,Beverages,Soft Drinks,Expansion,Bangalore,"Pirangut (MH), Ameenpur (TS), Bidadi (KA), Sanand (GJ), Goblej (GJ), Dasna (UP)",12000.0,6000.0,342.0,,85,high_priority
Britannia Industries,FMCG & Consumer,Food Processing,Multi,Expansion,Bangalore,"Bangalore, Ranjangaon, Khurda, Haridwar, Guwahati",18000.0,5000.0,179.0,,85,high_priority
ITC Foods,FMCG & Consumer,Food Processing,Multi,Expansion,Kolkata,"Pune, Haridwar, Kolkata, Tumkur, Chennai",18000.0,8000.0,190.0,,85,high_priority
NMDC Ltd,Mining & Minerals,Mining Minerals,Iron Ore,Expansion,Hyderabad,"Bailadila (CG), Donimalai (KA), Kumaraswamy (KA)",22000.0,6000.0,330.0,,85,high_priority
Pidilite Industries,FMCG & Consumer,Fmcg Foods Personal Care,Adhesives,Expansion,Mumbai,"Vapi (GJ), Roha (MH), Baddi, Alwar",12000.0,6500.0,308.0,,85,high_priority
Pidilite (Roff/Dr. Fixit),Chemicals & Petrochemicals,Paints Coatings,Construction Chem,Expansion,Mumbai,"Vapi (GJ), Roha (MH), Baddi, Alwar",12500.0,6800.0,327.0,,85,high_priority
United Spirits (Diageo),FMCG & Consumer,Beverages,IMFL,Expansion,Bangalore,"Nasik (MH), Alwar (RJ), Malkajgiri (TS), Ponda (GA), Pondicherry",11000.0,7000.0,310.0,,85,high_priority
Kansai Nerolac,Chemicals & Petrochemicals,Paints Coatings,Decorative/Industrial,Expansion,Mumbai,"Lote (MH), Jainpur (UP), Bawal (HR), Hosur (TN), Sayakha (GJ)",7500.0,3500.0,215.0,,85,high_priority
Singareni Collieries,Mining & Minerals,Mining Minerals,Coal,Expansion,Hyderabad,"Telangana (Ramagundam, Kothagudem, Sathupalli)",35000.0,42000.0,325.0,,85,high_priority
Mahindra Tractors,Auto & Engineering,Two Wheelers Tractors,Tractors,Expansion,Mumbai,"Kandivali (MH), Nagpur (MH), Jaipur (RJ), Zaheerabad (TS), Rudrapur (UK)",35000.0,15000.0,325.0,,85,high_priority
APL Apollo Tubes,Steel & Metals,Steel Pipes Tubes,ERW/Structural,Expansion,Delhi,"Raipur (CG), Hosur (TN), Sikandrabad (UP), Murbad (MH), Dubai",18000.0,5000.0,198.0,,85,high_priority
Toyota Kirloskar,Auto & Engineering,Auto Oem,PV,Expansion,Bangalore,Bidadi (KA),55000.0,8000.0,325.0,,85,high_priority
Patanjali (Divya Pharmacy),FMCG & Consumer,Food Grains Staples,FMCG/Staples,Expansion,Haridwar,"Haridwar (UK), Newasa (MH), Nagpur",12000.0,15000.0,295.0,,85,high_priority
Polycab India,Auto & Engineering,Wires Cables,Multi,Expansion,Mumbai,"Halol (GJ), Daman, Silvassa, Nashik, Roorkee",18000.0,8000.0,213.0,,85,high_priority
JSPL (Jindal Steel),Steel & Metals,Steel Coils,Integrated,Expansion,Delhi,"Angul (OD), Raigarh (CG), Patratu (JH)",65000.0,20000.0,165.0,,85,high_priority
Samsung India,FMCG & Consumer,Consumer Durables,White/Brown,Expansion,Gurugram,"Noida (UP), Sriperumbudur (TN)",35000.0,8000.0,775.0,,85,high_priority
UFLEX Ltd,Chemicals & Petrochemicals,Petrochemicals Polymers,Packaging Films,Penetration,Noida,"Noida (UP), Jammu, Dubai, Egypt, Poland",12000.0,8000.0,260.0,,85,high_priority
Cargill India,FMCG & Consumer,Food Grains Staples,Trading/Processing,Expansion,Gurugram,"Kandla (GJ), Kurkumbh (MH), Davangere",45000.0,4000.0,490.0,,85,high_priority
Pidilite Industries,Chemicals & Petrochemicals,Adhesives Sealants,Multi,Expansion,Mumbai,"Mahad (MH), Vapi (GJ), Baddi (HP), Pantnagar (UK), Dahej (GJ)",12000.0,6000.0,137.0,,85,high_priority
SAIL (Plates/Sections),Steel & Metals,Steel Flats Longs,Integrated,Expansion,Delhi,"Bhilai (CG), Bokaro (JH), Rourkela (OD), Durgapur (WB), Burnpur (WB)",35000.0,18000.0,157.0,,85,high_priority
Amul (GCMMF),FMCG & Consumer,Dairy Products,Multi,Expansion,Anand,"Anand (GJ), Gandhinagar, Mehsana, Pan-India",72000.0,20000.0,475.0,,85,high_priority
Hero MotoCorp,Auto & Engineering,Two Wheelers Tractors,2W,Expansion,Delhi,"Dharuhera (HR), Gurugram (HR), Haridwar (UK), Neemrana (RJ), Halol (GJ), Chittoor (AP), Vadodara (GJ), Colombia",40000.0,10000.0,380.0,,85,high_priority
Havells India,FMCG & Consumer,Consumer Durables,Appliances,Expansion,Noida,"Haridwar (UK), Baddi (HP), Neemrana (RJ), Alwar (RJ), Noida (UP)",18000.0,7500.0,430.0,,85,high_priority
Tata Steel Mining,Mining & Minerals,Mining Minerals,Iron Ore,Expansion,Jamshedpur,"Noamundi (JH), Joda (OD), Khondbond",15000.0,4000.0,215.0,,85,high_priority
Godrej Consumer,FMCG & Consumer,Fmcg Foods Personal Care,Personal/Home,Expansion,Mumbai,"Baddi (HP), Malanpur (MP), Guwahati, Puducherry",13500.0,5500.0,410.0,,85,high_priority
Bunge India,FMCG & Consumer,Food Grains Staples,Trading/Processing,Expansion,Mumbai,"Rajpura (PB), Kandla, Krishnapatnam",20000.0,1500.0,245.0,,85,high_priority
ONGC Petro,Chemicals & Petrochemicals,Petrochemicals Polymers,Polymers,Expansion,Vadodara,Dahej (GJ),18000.0,1200.0,250.0,,80,high_priority
National Fertilizers Ltd,Chemicals & Petrochemicals,Fertilizers,PSU,Expansion,Noida,"Bathinda (PB), Panipat (HR), Vijaipur (MP), Nangal (PB)",14000.0,5500.0,240.0,,80,high_priority
NALCO,Steel & Metals,Non Ferrous Metals,Aluminium,Expansion,Bhubaneswar,"Angul (OD), Damanjodi (OD)",14500.0,6500.0,250.0,,80,high_priority
BHEL,Auto & Engineering,Project Cargo,Power Equipment,Expansion,Delhi,"Haridwar (UK), Trichy (TN), Hyderabad",25000.0,35000.0,230.0,,80,high_priority
Indian Railways (COFMOW),Steel & Metals,Steel Railways,End User,Penetration,Delhi,Pan-India workshops,200000.0,1300000.0,250.0,,80,high_priority
NTPC (Capex),Auto & Engineering,Project Cargo,Power Projects,Penetration,Delhi,Pan-India,150000.0,20000.0,230.0,,80,high_priority
SAIL (Mining),Mining & Minerals,Mining Minerals,Iron Ore,Penetration,Delhi,"Kiriburu (JH), Gua (JH), Rowghat (CG)",18000.0,8000.0,240.0,,80,high_priority
Lupin Ltd,FMCG & Consumer,Pharma Healthcare,Formulations/API,Expansion,Mumbai,"Goa, Mandideep (MP), Tarapur (MH), Aurangabad",20000.0,21000.0,225.0,,80,high_priority
Zydus Lifesciences,FMCG & Consumer,Pharma Healthcare,Formulations/API,Expansion,Ahmedabad,"Ahmedabad (GJ), Baddi (HP), Moraiya (GJ)",22000.0,25000.0,249.0,,80,high_priority
MRPL,Chemicals & Petrochemicals,Petrochemicals Polymers,Aromatics,Penetration,Mangalore,Mangalore (KA),90000.0,2500.0,255.0,,80,high_priority
Pernod Ricard India,FMCG & Consumer,Beverages,IMFL/Wine,Expansion,Mumbai,"Nashik (MH), Behror (RJ), Kolar (KA), Goa, Kolhapur",8500.0,3000.0,242.0,,80,high_priority
Bunge India,FMCG & Consumer,Edible Oils,Trading/Refining,Expansion,Mumbai,"Rajpura (PB), Kandla, Krishnapatnam",20000.0,1500.0,245.0,,80,high_priority
United Breweries,FMCG & Consumer,Beverages,Beer,Expansion,Bangalore,"Bangalore (KA), Mangalore, Mysore, Chennai, Ludhiana, Kolkata",7500.0,5500.0,215.0,,80,high_priority
CCL (Central Coalfields),Mining & Minerals,Mining Minerals,Coal,Penetration,Ranchi,"Jharkhand (Hazaribag, Ranchi, Ramgarh)",25000.0,35000.0,242.0,,80,high_priority
TAFE (Massey Ferguson),Auto & Engineering,Auto Oem,Tractors,Penetration,Chennai,"Chennai (TN), Mandideep (MP), Alwar (RJ)",18000.0,8000.0,175.0,,80,high_priority
Nestle India,FMCG & Consumer,Food Processing,Multi,Expansion,Gurugram,"Moga (PB), Samalkha (HR), Pantnagar (UK), Nanjangud (KA)",20000.0,8500.0,208.0,,80,high_priority
Cipla Ltd,FMCG & Consumer,Pharma Healthcare,Formulations,Expansion,Mumbai,"Goa, Baddi, Patalganga (MH), Kurkumbh (MH)",25500.0,25000.0,275.0,,80,high_priority
Welspun Corp,Steel & Metals,Steel Pipes Tubes,LSAW/HSAW,Expansion,Mumbai,"Anjar (GJ), Mandya (KA), Bhopal (MP)",12000.0,4500.0,141.0,,80,high_priority
NLC India,Mining & Minerals,Mining Minerals,Lignite,Expansion,Chennai,"Neyveli (TN), Barsingsar (RJ)",15000.0,11000.0,145.0,,80,high_priority
Grasim (Birla Cellulose),Chemicals & Petrochemicals,Synthetic Fibres,Viscose,Expansion,Mumbai,"Nagda (MP), Kharach (GJ), Harihar (KA), Veraval",12000.0,8000.0,147.0,,80,high_priority
Jindal SAW Ltd,Steel & Metals,Steel Pipes Tubes,LSAW/HSAW,Expansion,Delhi,"Mundra (GJ), Nashik (MH), Bellary (KA), USA",14000.0,6000.0,158.0,,80,high_priority
JSW Steel (Long),Steel & Metals,Steel Structural,Integrated,Expansion,Mumbai,"Vijayanagar (KA), Salem (TN), Dolvi (MH)",28000.0,8000.0,158.0,,80,high_priority
JSPL (Semis),Steel & Metals,Steel Semi Finished,Integrated,Expansion,Delhi,"Angul (OD), Raigarh (CG), Patratu (JH)",25000.0,8000.0,125.0,,80,high_priority
WCL (Western Coalfields),Mining & Minerals,Mining Minerals,Coal,Penetration,Nagpur,"Maharashtra (Nagpur, Chandrapur), MP",12000.0,35000.0,122.0,,80,high_priority
AkzoNobel India,Chemicals & Petrochemicals,Paints Coatings,Decorative/Industrial,Expansion,Gurugram,"Gwalior (MP), Mohali (PB), Hyderabad (TS)",4000.0,2500.0,120.0,,80,high_priority
Emami Ltd,FMCG & Consumer,Fmcg Foods Personal Care,Personal Care,Expansion,Kolkata,"Amingaon (AS), Baddi (HP), Silvassa",3800.0,3200.0,120.0,,80,high_priority
Torrent Pharma,FMCG & Consumer,Pharma Healthcare,Formulations,Expansion,Ahmedabad,"Ahmedabad (GJ), Baddi (HP), Indrad (GJ)",10500.0,15000.0,120.0,,80,high_priority
Royal Enfield (Eicher),Auto & Engineering,Two Wheelers Tractors,2W,Expansion,Chennai,"Oragadam (TN), Vallam (TN), Tiruvottiyur (TN)",17000.0,6500.0,166.0,,80,high_priority
Siemens India,Auto & Engineering,Project Cargo,Transformers,Expansion,Mumbai,"Kalwa (MH), Goa, Nashik, Aurangabad",20000.0,12000.0,115.0,,80,high_priority
KEI Industries,Auto & Engineering,Wires Cables,Power,Expansion,Delhi,"Bhiwadi (RJ), Pathredi, Chopanki, Vadodara, Silvassa",8500.0,4000.0,115.0,,80,high_priority
BASF India,Chemicals & Petrochemicals,Petrochemicals Polymers,Polymers,Penetration,Mumbai,"Navi Mumbai, Mangalore, Dahej",14500.0,2800.0,205.0,,80,high_priority
SAIL (Semis),Steel & Metals,Steel Semi Finished,Integrated,Expansion,Delhi,"Bhilai (CG), Bokaro (JH), Durgapur (WB), Rourkela (OD)",25000.0,12000.0,115.0,,80,high_priority
LT Foods (Daawat),FMCG & Consumer,Food Grains Staples,Rice,Expansion,Gurugram,"Sonipat (HR), Mandideep (MP), Amritsar (PB)",7500.0,3500.0,180.0,,80,high_priority
JSW Steel (Mining),Mining & Minerals,Mining Minerals,Iron Ore,Expansion,Mumbai,"Bellary (KA), Vijaynagar",12000.0,3000.0,180.0,,80,high_priority
TAFE (Massey Ferguson),Auto & Engineering,Two Wheelers Tractors,Tractors,Expansion,Chennai,"Chennai (TN), Mandideep (MP), Alwar (RJ)",18000.0,8000.0,180.0,,80,high_priority
Eicher Motors (VECV),Auto & Engineering,Auto Oem,CV,Expansion,Indore,"Pithampur (MP), Bhopal",18000.0,9000.0,180.0,,80,high_priority
JSW Steel (Flats),Steel & Metals,Steel Flats Longs,Integrated,Expansion,Mumbai,"Dolvi (MH), Vijayanagar (KA), Salem (TN), Raigarh (CG)",40000.0,12000.0,181.0,,80,high_priority
Havells India,Auto & Engineering,Wires Cables,Building,Expansion,Noida,"Haridwar (UK), Baddi (HP), Neemrana, Faridabad",16000.0,6000.0,189.0,,80,high_priority
ITC Ltd (Aashirvaad),FMCG & Consumer,Food Grains Staples,FMCG/Staples,Expansion,Kolkata,"Kapurthala (PB), Haridwar (UK), Munger (BR)",8000.0,5000.0,195.0,,80,high_priority
Tata Steel (Long Products),Steel & Metals,Steel Structural,Integrated,Expansion,Mumbai,"Jamshedpur (JH), Gamharia (JH), Sahibabad (UP)",35000.0,12000.0,198.0,,80,high_priority
Tata Steel (Plates),Steel & Metals,Steel Flats Longs,Integrated,Expansion,Mumbai,"Jamshedpur (JH), Kalinganagar (OD), Meramandali (OD)",45000.0,15000.0,198.0,,80,high_priority
AM/NS India,Steel & Metals,Steel Coils,Integrated,Expansion,Mumbai,Hazira (GJ),55000.0,12000.0,200.0,,80,high_priority
Haldia Petrochemicals,Chemicals & Petrochemicals,Petrochemicals Polymers,Polymers,Expansion,Kolkata,Haldia (WB),12000.0,2500.0,200.0,,80,high_priority
Honda 2W,Auto & Engineering,Auto Oem,2W,Penetration,Delhi,"Manesar (HR), Tapukara (RJ), Narsapura (KA), Gujarat",32000.0,7000.0,273.0,,80,high_priority
KRBL Ltd,FMCG & Consumer,Food Grains Staples,Rice,Expansion,Delhi,"Ghaziabad (UP), Dhuri (PB), Alipur (DL)",5500.0,2500.0,139.0,,80,high_priority
Kia India,Auto & Engineering,Auto Oem,PV,Expansion,Gurugram,Anantapur (AP),40000.0,5000.0,275.0,,80,high_priority
Patanjali,FMCG & Consumer,Fmcg Foods Personal Care,Ayurveda/Foods,Penetration,Haridwar,"Haridwar (UK), Padartha, Nagpur",12000.0,15000.0,375.0,,80,high_priority
Welspun India,FMCG & Consumer,Textiles Apparel,Home Textiles,Expansion,Mumbai,"Anjar (GJ), Vapi (GJ), Hyderabad (TS)",12000.0,30000.0,310.0,,80,high_priority
Voltas Ltd,FMCG & Consumer,Consumer Durables,AC/Commercial,Expansion,Mumbai,"Pantnagar (UK), Sanand (GJ), Waghodia (GJ)",13000.0,5000.0,310.0,,80,high_priority
Coromandel International,Chemicals & Petrochemicals,Agrochemicals,Agri-inputs,Expansion,Secunderabad,"Vizag (AP), Kakinada (AP), Ennore (TN), Ranipet",22000.0,5000.0,310.0,,80,high_priority
Havells India,Steel & Metals,Non Ferrous Metals,Cu Cables,Penetration,Noida,"Haridwar (UK), Faridabad, Alwar (RJ), Neemrana",18500.0,12000.0,310.0,,80,high_priority
Dr. Reddy's Labs,FMCG & Consumer,Pharma Healthcare,Formulations/API,Expansion,Hyderabad,"Hyderabad (TS), Baddi (HP), Srikakulam (AP)",28000.0,24000.0,310.0,,80,high_priority
Mahindra Tractors,Auto & Engineering,Auto Oem,Tractors,Penetration,Mumbai,"Kandivali, Nagpur, Jaipur, Zaheerabad",35000.0,15000.0,325.0,,80,high_priority
TVS Motor,Auto & Engineering,Two Wheelers Tractors,2W,Expansion,Chennai,"Hosur (TN), Mysore (KA), Nalagarh (HP)",35000.0,8500.0,327.0,,80,high_priority
Polycab India,Steel & Metals,Non Ferrous Metals,Cu Cables,Penetration,Mumbai,"Halol (GJ), Daman, Roorkee (UK), Nashik (MH)",18000.0,4500.0,330.0,,80,high_priority
Dixon Technologies,FMCG & Consumer,Consumer Durables,Contract Mfg,Expansion,Noida,"Noida (UP), Tirupati (AP), Ludhiana (PB), Dehradun (UK)",18000.0,12000.0,345.0,,80,high_priority
Adani Enterprises (Mining),Mining & Minerals,Mining Minerals,Coal/Minerals,Penetration,Ahmedabad,"Chhattisgarh, Odisha, Rajasthan",25000.0,5000.0,360.0,,80,high_priority
Haldirams,FMCG & Consumer,Fmcg Foods Personal Care,Snacks/Sweets,Penetration,Nagpur,"Nagpur (MH), Delhi, Kolkata, Bikaner",12000.0,25000.0,375.0,,80,high_priority
TVS Motor,Auto & Engineering,Auto Oem,2W,Penetration,Chennai,"Hosur (TN), Mysore, Nalagarh (HP)",35000.0,8000.0,307.0,,80,high_priority
Tata Consumer,FMCG & Consumer,Fmcg Foods Personal Care,Foods/Beverages,Penetration,Mumbai,"Munnar (KL), Kolkata, Chennai, Baddi",15000.0,5000.0,375.0,,80,high_priority
Coromandel International,Chemicals & Petrochemicals,Fertilizers,Private,Expansion,Secunderabad,"Vizag (AP), Kakinada (AP), Ennore (TN), Ranipet",22000.0,5000.0,378.0,,80,high_priority
Bajaj Auto,Auto & Engineering,Auto Oem,2W/3W,Penetration,Pune,"Chakan, Akurdi, Waluj, Pantnagar",45000.0,12000.0,395.0,,80,high_priority
Nippon Paint India,Chemicals & Petrochemicals,Paints Coatings,Decorative,Expansion,Chennai,"Chennai (TN), Hosur (TN), Bawal (HR)",3500.0,2000.0,102.0,,80,high_priority
Bajaj Auto,Auto & Engineering,Two Wheelers Tractors,2W/3W,Expansion,Pune,"Chakan (MH), Akurdi (MH), Waluj (MH), Pantnagar (UK)",45000.0,12000.0,415.0,,80,high_priority
Mother Dairy,FMCG & Consumer,Fmcg Foods Personal Care,Dairy,Penetration,Delhi,"Delhi-NCR, Mumbai, Hyderabad",16000.0,8000.0,425.0,,80,high_priority
Parle Products,FMCG & Consumer,Fmcg Foods Personal Care,Biscuits/Snacks,Penetration,Mumbai,"Vile Parle (MH), Bahadurgarh, Neemrana, Khopoli",15000.0,8000.0,475.0,,80,high_priority
SRF Ltd,Chemicals & Petrochemicals,Specialty Chemicals,Fluorochemicals,Expansion,Gurugram,"Bhiwadi (RJ), Dahej (GJ), Kashipur (UK), Thailand",16000.0,9000.0,475.0,,80,high_priority
P&G India,FMCG & Consumer,Fmcg Foods Personal Care,Personal/Home,Penetration,Mumbai,"Bhiwadi (RJ), Hyderabad, Mandideep, Baddi",15000.0,4000.0,475.0,,80,high_priority
Cargill India,FMCG & Consumer,Edible Oils,Trading/Refining,Expansion,Gurugram,"Kandla (GJ), Kurkumbh (MH), Davangere",45000.0,4000.0,490.0,,80,high_priority
Marico Ltd,FMCG & Consumer,Fmcg Foods Personal Care,Personal Care,Expansion,Mumbai,"Kanjikode (KL), Perundurai (TN), Baddi, Paldhi",10000.0,4500.0,308.0,,80,high_priority
SECL (South Eastern),Mining & Minerals,Mining Minerals,Coal,Penetration,Bilaspur,"Chhattisgarh (Korba, Bilaspur, Raigarh)",35000.0,45000.0,335.0,,80,high_priority
